English,IMG,Transcription,Audio,Vietnamese,Sentence,Vietnamese_Explain,English_Explain,Collocations,Synonyms_Antonyms,Phrasal_Idioms,Word_Analysis,Nuance_Register
misunderstanding,"<img src=""misunderstanding.jpg"">",/ˌmɪs.ʌn.dəˈstæn.dɪŋ/,[sound:misunderstanding.mp3],sự hiểu lầm,A simple {{c1::misunderstanding}} led to a heated argument between the two friends.,"Tình huống khi ai đó hiểu sai ý nghĩa của một lời nói, hành động hoặc sự việc, dẫn đến nhầm lẫn hoặc mâu thuẫn.",A failure to understand something correctly.,"serious misunderstanding, clear up a misunderstanding, result from a misunderstanding","Syn: misinterpretation, confusion | Ant: understanding, agreement",lead to a misunderstanding,mis- (tiền tố: sai/nhầm) + understand (ngữ căn: hiểu) + -ing (hậu tố danh từ),Neutral - Dùng phổ biến trong cả giao tiếp hàng ngày và văn bản chính thức.
peer,"<img src=""peer.jpg"">",/pɪər/,[sound:peer.mp3],"bạn đồng lứa, người cùng địa vị",Children often feel a lot of pressure to fit in with their {{c1::peers}}.,"Người có cùng độ tuổi, địa vị xã hội, hoặc trình độ năng lực với người khác trong một nhóm.",A person who is the same age or has the same social position or abilities as another.,"peer pressure, peer group, peer review","Syn: equal, companion | Ant: superior, subordinate",peer pressure,"Từ gốc Anglo-Norman / Tiếng Pháp cổ 'per' (bằng nhau, ngang hàng)","Neutral / Academic - Thường dùng trong xã hội học, giáo dục và làm việc nhóm."
spouse,"<img src=""spouse.jpg"">",/spaʊs/,[sound:spouse.mp3],vợ hoặc chồng,Employees are invited to attend the annual company dinner with their {{c1::spouse}}.,Người đã kết hôn chính thức với ai đó (dùng để chỉ chung vợ hoặc chồng trong ngữ cảnh lịch sự/pháp lý).,A husband or wife.,"current spouse, surviving spouse, spouse's consent","Syn: partner, husband/wife | Ant: ex-spouse",N/A,"Gốc Latin 'sponsus' (người hứa hôn, người lập gia đình)","Formal / Legal - Thường xuất hiện trong giấy tờ thủ tục, văn bản trang trọng hoặc hành chính."
unexpectedly,"<img src=""unexpectedly.jpg"">",/ˌʌn.ɪkˈspek.tɪd.li/,[sound:unexpectedly.mp3],"bất ngờ, không báo trước","The weather changed {{c1::unexpectedly}}, forcing us to cancel our outdoor picnic.",Diễn tả một hành động hoặc sự việc xảy ra mà không hề được dự đoán hay chuẩn bị trước.,In a way that was not expected or foreseen.,"happen unexpectedly, arrive unexpectedly, end unexpectedly","Syn: surprisingly, suddenly | Ant: predictably, expectedly",out of the blue,un- (tiền tố: không) + expect (chờ đợi) + -ed (tính từ) + -ly (trạng từ),Neutral - Dùng linh hoạt trong văn nói lẫn văn viết.
effortless,"<img src=""effortless.jpg"">",/ˈef.ət.ləs/,[sound:effortless.mp3],"không tốn sức, dễ dàng",She played the difficult piano piece with {{c1::effortless}} grace.,"Miêu tả điều gì đó dường như thực hiện dễ dàng, tự nhiên mà không cần phải cố gắng hay tốn sức lực.",Requiring or showing no obvious effort; seemingly easy.,"effortless charm, effortless ease, make it look effortless","Syn: easy, graceful, natural | Ant: strenuous, arduous",make something look effortless,effort (sự nỗ lực) + -less (hậu tố: không có),"Neutral / Expressive - Thường dùng miêu tả kỹ năng, phong thái mượt mà, tự nhiên."
spending,"<img src=""spending.jpg"">",/ˈspen.dɪŋ/,[sound:spending.mp3],"việc chi tiêu, khoản chi",Government {{c1::spending}} on healthcare has increased significantly this year.,"Số tiền được tiêu dùng bởi cá nhân, tổ chức hoặc chính phủ cho các mục đích cụ thể.",The amount of money spent.,"consumer spending, public spending, spending habits","Syn: expenditure, outlay | Ant: income, saving",cut back on spending,spend (chi tiêu) + -ing (hậu tố danh từ),Neutral / Financial - Dùng phổ biến trong bài báo kinh tế và đời sống cá nhân.
quality,"<img src=""quality.jpg"">",/ˈkwɒl.ə.ti/,[sound:quality.mp3],"chất lượng, phẩm chất",The company focuses on improving the {{c1::quality}} of its customer service.,"Mức độ tốt hay tệ của một sản phẩm/dịch vụ, hoặc một đặc tính/phẩm chất đặc trưng của con người.",The standard of something as measured against other things of a similar kind.,"high quality, quality time, quality control","Syn: standard, excellence, trait | Ant: inferiority, poorness",quality time,"Gốc Latin 'qualitas' (tính chất, phẩm cấp)","Neutral - Sử dụng cực kỳ phổ biến trong đời sống, thương mại và kỹ thuật."
actually,"<img src=""actually.jpg"">",/ˈæk.tʃu.ə.li/,[sound:actually.mp3],"thực ra, trên thực tế","I thought the test would be difficult, but it was {{c1::actually}} quite easy.","Từ dùng để nhấn mạnh sự thật, chỉ ra điều bất ngờ hoặc đính chính thông tin chưa đúng.",In fact or in reality; used to emphasize a fact or correct a mistake.,"actually happen, actually work, actually exist","Syn: in fact, really, truly | Ant: supposedly, theoretically",N/A,actual (thực tế) + -ly (trạng từ),Informal / Spoken - Rất phổ biến trong hội thoại tiếng Anh hàng ngày.
prioritize,"<img src=""prioritize.jpg"">",/praɪˈɒr.ə.taɪz/,[sound:prioritize.mp3],ưu tiên,You should {{c1::prioritize}} your safety over saving time when driving.,"Dành sự quan tâm, thời gian hoặc nguồn lực cao nhất cho một việc gì đó trước các việc khác.",To treat something as more important than other things.,"prioritize tasks, prioritize health, learn to prioritize","Syn: privilege, stress, give priority to | Ant: neglect, ignore",N/A,priority (sự ưu tiên) + -ize (hậu tố động từ hóa),Neutral / Professional - Thường dùng trong quản lý công việc và lập kế hoạch.
growth,"<img src=""growth.jpg"">",/ɡrəʊθ/,[sound:growth.mp3],"sự phát triển, tăng trưởng",Economic {{c1::growth}} has slowed down over the last quarter.,"Quá trình gia tăng về kích thước, số lượng, giá trị hoặc sự trưởng thành về tinh thần/kỹ năng.","The process of increasing in physical size, amount, or importance.","personal growth, economic growth, rapid growth","Syn: development, expansion, rise | Ant: decline, reduction",growth mindset,grow (phát triển) + -th (hậu tố tạo danh từ),"Neutral / Academic - Dùng rộng rãi từ kinh tế, sinh học cho đến phát triển bản thân."
encourage,"<img src=""encourage.jpg"">",/ɪnˈkʌr.ɪdʒ/,[sound:encourage.mp3],"khuyến khích, động viên",Good teachers always {{c1::encourage}} their students to ask questions.,"Tiếp thêm lòng dũng cảm, niềm tin hoặc động lực cho ai đó làm điều gì đó tốt đẹp.","To give support, confidence, or hope to someone.","encourage someone to do something, encourage growth, highly encourage","Syn: inspire, motivate, foster | Ant: discourage, dissuade",N/A,en- (tiền tố: làm cho) + courage (lòng dũng cảm),"Neutral - Mang thái độ tích cực, dùng trong giáo dục, quản lý và đời sống."
expectations,"<img src=""expectations.jpg"">",/ˌek.spekˈteɪ.ʃənz/,[sound:expectations.mp3],"sự kỳ vọng, mong đợi",The movie failed to live up to the audience's high {{c1::expectations}}.,Niềm tin hoặc hy vọng về những gì sẽ xảy ra hoặc những tiêu chuẩn ai đó nên đạt được.,Strong beliefs that something will happen or be the case in the future.,"meet expectations, high expectations, exceed expectations","Syn: hopes, prospects, assumptions | Ant: doubts, hopelessness",live up to expectations,expect (chờ đợi) + -ation (hậu tố danh từ) + -s (số nhiều),"Neutral - Dùng nhiều khi bàn về hiệu suất làm việc, mối quan hệ và trải nghiệm."
explore,"<img src=""explore.jpg"">",/ɪkˈsplɔːr/,[sound:explore.mp3],"khám phá, tìm hiểu",We decided to {{c1::explore}} the old city on foot.,"Đi đến một địa điểm mới để tìm hiểu về nó, hoặc phân tích/nghiên cứu kỹ các lựa chọn/ý tưởng.","To travel to or around an area to learn about it, or to investigate thoroughly.","explore options, explore new places, explore ideas","Syn: investigate, discover, examine | Ant: ignore, overlook",explore every avenue,"Gốc Latin 'explorare' (tìm kiếm, điều tra, dò xét)","Neutral - Sử dụng tự nhiên trong du lịch, nghiên cứu học thuật và kinh doanh."
backfire,,/ˌbækˈfaɪər/,[sound:backfire.mp3],phản tác dụng,Her plan to make him jealous completely {{c1::backfired}}.,Khi một kế hoạch hoặc hành động mang lại kết quả ngược lại hoàn toàn với mong muốn ban đầu và gây bất lợi.,To have the opposite result to the one intended.,"backfire badly, plan backfires, strategy backfires","Syn: boomerang, recoil, misfire | Ant: succeed, work out",backfire on someone,back (ngược lại) + fire (bắn/phát nổ),Informal / Expressive - Thường dùng khi thảo luận về các kế hoạch thất bại.
