English,IMG,Transcription,Audio,Vietnamese,Sentence,Vietnamese_Explain,English_Explain,Collocations,Synonyms_Antonyms,Phrasal_Idioms,Word_Analysis,Nuance_Register
irritation,"<img src=""irritation.jpg"">",/ˌɪr.əˈteɪ.ʃən/,[sound:irritation.mp3],"sự khó chịu, sự bực mình",He tried to hide his {{c1::irritation}} when the meeting was delayed again.,"Cảm giác khó chịu, bực bội do một hành động hoặc tình huống gây ra, hoặc sự kích thích thể xác (như da bị ngứa/rát).","The state of feeling annoyed, impatient, or angry; physical discomfort.","cause irritation, hide one's irritation, skin irritation","Syn: annoyance, exasperation | Ant: pleasure, comfort",get on someone's nerves,Root: irritate (làm bực) + Suffix: -ion (danh từ hóa),"Neutral - Trung tính, dùng phổ biến trong giao tiếp hàng ngày và y học."
interact,"<img src=""interact.jpg"">",/ˌɪn.təˈrækt/,[sound:interact.mp3],"tương tác, giao tiếp",Teachers encourage students to {{c1::interact}} with each other during group work.,"Hành động giao tiếp, tiếp xúc hoặc tác động qua lại lẫn nhau giữa hai hay nhiều đối tượng.",To communicate with or react to someone or something.,"interact with, interact socially, interact directly","Syn: engage, communicate | Ant: isolate, ignore",rub shoulders with,Prefix: inter- (giữa các bên) + Root: act (hành động),"Neutral - Trung tính, được dùng rộng rãi trong giáo dục, xã hội học và khoa học."
observing,"<img src=""observing.jpg"">",/əbˈzɜː.vɪŋ/,[sound:observing.mp3],"quan sát, theo dõi","By {{c1::observing}} animal behavior, researchers learned how they adapt to winter.","Hành động chú ý xem xét, theo dõi kĩ lưỡng người hoặc vật để thu thập thông tin hoặc học hỏi.",The act of watching somebody/something carefully to gain knowledge.,"observing eye, keen observing, observing behavior","Syn: watching, monitoring | Ant: ignoring, overlooking",keep a close eye on,Root: observe (quan sát) + Suffix: -ing (dạng tiếp diễn/danh động từ),Neutral / Academic - Dùng nhiều trong ngữ cảnh học thuật và nghiên cứu.
approach,"<img src=""approach.jpg"">",/əˈprəʊtʃ/,[sound:approach.mp3],"tiếp cận, phương pháp",We need to adopt a new {{c1::approach}} to solve this complex problem.,"Đến gần ai đó/cái gì đó về khoảng cách/thời gian; hoặc một cách thức, phương pháp giải quyết vấn đề.",A way of dealing with somebody/something; to come near to something.,"practical approach, scientific approach, approach a problem","Syn: method, strategy, advance | Ant: retreat, avoid",take a cautious approach,"Prefix: ap- (hướng tới) + Root: proach (đến gần, từ gốc Latin 'prope')","Neutral / Formal - Thường dùng trong công việc, học thuật và giải quyết vấn đề."
approval,"<img src=""approval.jpg"">",/əˈpruː.vəl/,[sound:approval.mp3],"sự chấp thuận, sự đồng ý",The project was put on hold pending final {{c1::approval}} from the board.,"Sự đồng ý chính thức cho một điều gì đó diễn ra, hoặc thái độ tán thành, hài lòng với ai đó.",Official agreement to or acceptance of something; a good opinion of someone.,"win approval, formal approval, nod of approval","Syn: consent, endorsement | Ant: disapproval, rejection",seal of approval,Root: approve (tán thành) + Suffix: -al (danh từ hóa),Formal / Business - Rất phổ biến trong môi trường làm việc và văn bản hành chính.
circumstance,"<img src=""circumstance.jpg"">",/ˈsɜː.kəm.stɑːns/,[sound:circumstance.mp3],"hoàn cảnh, trường hợp",Under no {{c1::circumstance}} should you leave the building during an emergency.,"Điều kiện, sự kiện hoặc yếu tố xung quanh tác động đến một tình huống hoặc quyết định.",A fact or condition connected with or relevant to an event or action.,"unforeseen circumstance, change of circumstance, under any circumstance","Syn: situation, condition, context | Ant: N/A",victim of circumstance,"Prefix: circum- (xung quanh) + Root: stance (đứng, vị trí)","Formal - Thường xuất hiện trong văn viết, văn bản pháp lý hoặc diễn ngôn trang trọng."
compassion,"<img src=""compassion.jpg"">",/kəmˈpæʃ.ən/,[sound:compassion.mp3],"lòng trắc ẩn, lòng thương cảm",She treated the homeless people with warmth and {{c1::compassion}}.,Tình thương xót sâu sắc đối với sự đau khổ của người khác kèm theo mong muốn giúp đỡ họ.,A feeling of deep sympathy and sorrow for another who is stricken by misfortune.,"show compassion, feel compassion, deep compassion","Syn: sympathy, empathy, kindness | Ant: cruelty, indifference",heart of gold,"Prefix: com- (cùng nhau) + Root: passion (chịu đựng, đau khổ)","Neutral / Written - Trang trọng vừa phải, dùng khi nói về phẩm chất đạo đức."
curiosity,"<img src=""curiosity.jpg"">",/ˌkjʊə.riˈɒs.ə.ti/,[sound:curiosity.mp3],"sự tò mò, tính ham học hỏi",Children possess a natural {{c1::curiosity}} about the world around them.,"Khao khát muốn biết, muốn tìm hiểu hoặc học hỏi về điều gì đó.",A strong desire to know or learn something.,"satisfy curiosity, spark curiosity, out of curiosity","Syn: inquisitiveness, interest | Ant: apathy, indifference",curiosity killed the cat,Root: curious (tò mò) + Suffix: -ity (danh từ chỉ trạng thái/tính chất),Neutral - Được sử dụng tự nhiên trong cả văn nói lẫn văn viết.
disagreement,"<img src=""disagreement.jpg"">",/ˌdɪs.əˈɡriː.mənt/,[sound:disagreement.mp3],"sự bất đồng, sự bất hòa",They had a minor {{c1::disagreement}} about where to go for dinner.,Tình trạng không đồng ý hoặc khác biệt về ý kiến giữa hai hay nhiều người.,An argument or a situation in which people do not have the same opinion.,"sharp disagreement, fundamental disagreement, avoid disagreement","Syn: dispute, conflict, dissent | Ant: agreement, consensus",agree to disagree,Prefix: dis- (không) + Root: agree (đồng ý) + Suffix: -ment (danh từ hóa),Neutral - Lịch sự hơn từ 'argument' hay 'fight'.
emotional intelligence,"<img src=""emotional.jpg"">",/ɪˈməʊ.ʃən.əl ɪnˈtel.ɪ.dʒəns/,[sound:emotional.mp3],trí tuệ cảm xúc (EQ),Leaders with high {{c1::emotional intelligence}} can handle team stress effectively.,"Khả năng nhận biết, hiểu và quản lý cảm xúc của bản thân cũng như của người khác.","The capacity to be aware of, control, and express one's emotions and handle interpersonal relationships.","high emotional intelligence, develop emotional intelligence, lack emotional intelligence","Syn: EQ, emotional awareness | Ant: emotional blindness",read the room,Compound noun: emotional (thuộc cảm xúc) + intelligence (trí tuệ),"Academic / Professional - Phổ biến trong tâm lý học, quản trị nhân sự và kinh doanh."
