English,IMG,Transcription,Audio,Vietnamese,Sentence,Vietnamese_Explain,English_Explain,Collocations,Synonyms_Antonyms,Phrasal_Idioms,Word_Analysis,Nuance_Register
income,"<img src=""income.jpg"">",/ˈɪn.kʌm/,[sound:income.mp3],Thu nhập,Her annual {{c1::income}} has increased significantly this year.,"Số tiền mà một cá nhân hoặc tổ chức nhận được định kỳ từ công việc, kinh doanh hoặc đầu tư.","Money received, especially on a regular basis, for work or through investments.","annual income, source of income, high income","Syn: earnings, revenue | Ant: expenditure, expense",disposable income,Tiền tố in- (vào) + động từ come (đến) -> Tiền chảy vào túi.,"Formal / Neutral - Dùng phổ biến trong kinh tế, đời sống hàng ngày."
domestic,"<img src=""domestic.jpg"">",/dəˈmestɪk/,[sound:domestic.mp3],trong nước; thuộc về gia đình,They share all the {{c1::domestic}} chores equally.,"Liên quan đến các công việc nội bộ của một quốc gia; hoặc liên quan đến gia đình, tổ ấm và công việc nội trợ.","Relating to a person's own country, or relating to a person's home and family.","domestic chores, domestic violence, domestic flights","Syn: household, internal, national | Ant: foreign, international",domestic bliss (hạnh phúc gia đình ngọt ngào),Latin root 'domus' (ngôi nhà) + Suffix '-ic' (thuộc về).,Neutral/Formal (Trung tính/Trang trọng) - Sắc thái nghĩa thay đổi rõ rệt phụ thuộc vào danh từ đi kèm là 'quốc gia' hay 'gia đình'.
organising,"<img src=""organising.jpg"">",/ˈɔː.ɡən.aɪ.zɪŋ/,[sound:organising.mp3],"Việc tổ chức, sắp xếp",She is responsible for {{c1::organising}} the upcoming international conference.,"Hành động lập kế hoạch, sắp xếp công việc hoặc sự kiện một cách trật tự và có hệ thống.","The act of arranging or planning an event, activity, or system.","organising committee, organising skills, organising events","Syn: arranging, planning | Ant: disorganizing, disrupting",organise one's thoughts,Gốc organ (cơ quan) + hậu tố -ise (làm cho) + -ing (dạng danh động từ).,Neutral / Professional - Dùng trong quản lý công việc và đời sống.
referred,"<img src=""referred.jpg"">",/rɪˈfɜːd/,[sound:referred.mp3],"Được tham chiếu, được giới thiệu",The patient was {{c1::referred}} to a specialist for further medical examination.,"Được chuyển đến ai đó/nơi nào đó để nhận sự giúp đỡ, hoặc được đề cập/nhắc tới.","Directed to a person or place for help, or mentioned in speech/writing.","referred to as, referred to a specialist, referred by","Syn: cited, directed, mentioned | Ant: ignored, overlooked",refer to,Tiền tố re- (lại) + gốc fer (mang/chuyển) + -ed (dạng quá khứ/phân từ).,"Formal / Academic - Rất phổ biến trong y tế, học thuật, văn bản chính thức."
surrounded,"<img src=""surrounded.jpg"">",/səˈraʊn.dɪd/,[sound:surrounded.mp3],Được bao quanh,The small cottage was {{c1::surrounded}} by beautiful tall trees.,Ở trong trạng thái có sự vật hoặc con người vây quanh từ mọi phía.,Encircled or enclosed by something on all sides.,"surrounded by, completely surrounded, surrounded on all sides","Syn: enclosed, encircled | Ant: isolated, exposed",surround oneself with,Tiền tố sur- (trên/xung quanh) + gốc round (vòng tròn) + hậu tố -ed.,"Neutral - Dùng miêu tả không gian, môi trường xung quanh."
concern,"<img src=""concern.jpg"">",/kənˈsɜːn/,[sound:concern.mp3],"Mối quan tâm, sự lo ngại",Climate change is a major {{c1::concern}} for governments worldwide.,Sự lo lắng về một vấn đề có ảnh hưởng lớn hoặc điều gì đó đáng được chú ý tới.,"A feeling of worry, or something that is important to a person or group.","express concern, cause concern, growing concern","Syn: anxiety, worry, matter | Ant: indifference, unconcern",as far as... is concerned,Tiền tố con- (cùng nhau) + gốc cern (sàng lọc/chú ý) -> cùng chú ý đến điều gì.,"Formal / Neutral - Dùng nhiều trong tin tức, báo chí, văn bản trang trọng."
increasingly,"<img src=""increasingly.jpg"">",/ɪnˈkriː.sɪŋ.li/,[sound:increasingly.mp3],Ngày càng,It is becoming {{c1::increasingly}} difficult to find affordable housing in big cities.,"Mức độ, số lượng hoặc quy mô gia tăng nhiều hơn theo thời gian.",More and more over a period of time.,"increasingly difficult, increasingly popular, increasingly important","Syn: progressively, more and more | Ant: decreasingly",N/A,Tiền tố in- (vào) + crease (tăng) + -ing (phân từ) + -ly (hậu tố trạng từ).,Academic / Formal - Phổ biến trong bài viết học thuật và phân tích.
regarding,"<img src=""regarding.jpg"">",/rɪˈɡɑː.dɪŋ/,[sound:regarding.mp3],"Về, liên quan đến",I am writing to request more details {{c1::regarding}} the job opportunity.,Dùng làm giới từ để liên kết đến một chủ đề hay đối tượng được đề cập.,In relation to; concerning standard subject matter.,"regarding the matter, details regarding, rules regarding","Syn: concerning, about, as regards | Ant: irrespectively of",as regards,Gốc regard (chú ý) + -ing (dạng giới từ hóa).,Formal / Business - Thường dùng trong thư từ công việc và giao tiếp trang trọng.
collected,"<img src=""collected.jpg"">",/kəˈlek.tɪd/,[sound:collected.mp3],Thu thập; điềm tĩnh,She stayed calm and {{c1::collected}} despite the chaotic situation.,"Đã được gộp/gom lại; hoặc miêu tả thái độ tự chủ, điềm tĩnh trước áp lực.",Brought together in one place; or calm and in control of one's emotions.,"calm and collected, collected data, collected thoughts","Syn: gathered, composed, calm | Ant: scattered, agitated","cool, calm, and collected",Tiền tố col- (cùng nhau) + gốc lect (chọn/gom) + -ed.,Neutral - Vừa tả hành động gom góp vừa tả tính cách/tâm lý.
involvement,"<img src=""involvement.jpg"">",/ɪnˈvɒlvmənt/,[sound:involvement.mp3],"sự tham gia, sự can thiệp",Parental {{c1::involvement}} in school activities is highly encouraged.,"Hành động tích cực tham gia vào một hoạt động, tổ chức hoặc có mối liên hệ mật thiết với một tình huống nào đó.",The act of taking part in something or being connected with it.,"parental involvement, active involvement, community involvement","Syn: participation, association, engagement | Ant: exclusion, detachment, apathy",N/A,"Root 'involve' (bao hàm, liên lụy) + Suffix '-ment' (danh từ chỉ hành động, quá trình).","Neutral/Formal (Trung tính/Trang trọng) - Thường dùng trong các văn bản giáo dục, nghiên cứu hành vi và báo cáo công việc."
emotional,"<img src=""emotional.jpg"">",/ɪˈməʊ.ʃən.əl/,[sound:emotional.mp3],"Cảm xúc, xúc động",Listening to the old song triggered a strong {{c1::emotional}} response.,Liên quan đến cảm xúc hoặc dễ dàng bộc lộ cảm xúc mạnh mẽ.,Relating to intense feelings or showing strong feelings.,"emotional support, emotional intelligence, emotional stability","Syn: affective, passionate | Ant: unemotional, rational, detached",emotional rollercoaster,Tiền tố e- (ra ngoài) + mot (chuyển động) + -ion (danh từ) + -al (hậu tố tính từ).,Neutral - Dùng phổ biến trong cả tâm lý học lẫn giao tiếp hàng ngày.
through,"<img src=""through.jpg"">",/θruː/,[sound:through.mp3],"Thông qua, xuyên qua",They managed to achieve success {{c1::through}} hard work and dedication.,"Xuyên qua một khoảng không gian/thời gian, hoặc bằng phương pháp, công cụ nào đó.","Moving in one side and out of the other side, or by means of something.","go through, pass through, through hard work","Syn: via, by means of | Ant: around, outside",through thick and thin,Từ gốc tiếng Anh cổ (þurh) chỉ sự xuyên suốt.,Neutral - Giới từ/trạng từ cơ bản trong mọi hoàn cảnh.
consistent,"<img src=""consistent.jpg"">",/kənˈsɪstənt/,[sound:consistent.mp3],"nhất quán, kiên định",Her performance has been {{c1::consistent}} throughout the season.,"Luôn hành xử hoặc diễn ra theo cùng một cách, giữ vững phong độ, tiêu chuẩn hoặc nguyên tắc không đổi theo thời gian.","Always behaving or happening in a similar, especially positive, way.","consistent behavior, consistent quality, consistent with","Syn: steady, uniform, constant | Ant: inconsistent, erratic, changing",N/A,"Prefix 'con-' (cùng nhau) + Root 'sistere' (đứng vững, tồn tại) -> Giữ nguyên trạng thái cấu trúc vững vàng.","Neutral/Academic (Trung tính/Học thuật) - Dùng nhiều khi đánh giá hiệu suất, số liệu, luận điểm nghiên cứu."
interaction,"<img src=""interaction.jpg"">",/ˌɪntərˈækʃən/,[sound:interaction.mp3],"sự tương tác, sự giao tiếp",Social {{c1::interaction}} is crucial for a child's development.,"Hành động giao tiếp, tiếp xúc hoặc làm việc cùng nhau, có sự tác động qua lại lẫn nhau giữa hai hoặc nhiều người/sự vật.",An occasion when two or more people or things communicate or react to each other.,"social interaction, face-to-face interaction, lack of interaction","Syn: communication, contact, interplay | Ant: isolation, avoidance",N/A,"Prefix 'inter-' (giữa các bên, qua lại) + Root 'action' (hành động, tác động).","Neutral/Academic (Trung tính/Học thuật) - Thường dùng trong tâm lý học, xã hội học, khoa học máy tính và đời sống xã hội."
close-knit,"<img src=""close-knit.jpg"">",/ˌkləʊs ˈnɪt/,[sound:close-knit.mp3],"khăng khít, gắn bó",They grew up in a very {{c1::close-knit}} community.,"Có mối quan hệ cực kỳ gần gũi, khăng khít, luôn sẵn sàng giúp đỡ và chăm sóc lẫn nhau (thường nói về gia đình, cộng đồng).","Having strong, supportive, and close relationships among members.","close-knit family, close-knit community, close-knit group","Syn: tight-knit, united, close | Ant: loose, detached, divided",N/A,Từ ghép gồm 'close' (gần gũi) + 'knit' (đan chặt lại với nhau).,"Neutral (Trung tính) - Mang lại sắc thái ấm áp, tích cực khi mô tả các tập thể đoàn kết."
