English,IMG,Transcription,Audio,Vietnamese,Sentence,Vietnamese_Explain,English_Explain,Collocations,Synonyms_Antonyms,Phrasal_Idioms,Word_Analysis,Nuance_Register
advantages,"<img src=""advantages.jpg"">",/ədˈvɑːntɪdʒɪz/,[sound:advantages.mp3],"các ưu điểm, lợi thế",There are many {{c1::advantages}} to living in a big city.,"Danh từ số nhiều chỉ các đặc điểm thuận lợi, điều kiện tốt giúp đạt thành công hoặc lợi ích hơn những cái khác.",Conditions or circumstances that put one in a favorable position.,"main advantages, clear advantages, list of advantages","Syn: benefits, pros / Ant: disadvantages, cons",take advantage of (tận dụng),Gốc từ: advantage + hậu tố số nhiều -s. Từ gốc tiếng Pháp cổ 'avantage'.,Neutral/Academic - Dùng rộng rãi trong cả văn nói và văn viết.
disadvantages,"<img src=""disadvantages.jpg"">",/ˌdɪsədˈvɑːntɪdʒɪz/,[sound:disadvantages.mp3],"các nhược điểm, bất lợi",We must consider both the advantages and {{c1::disadvantages}} of this project.,"Danh từ số nhiều chỉ những yếu tố không thuận lợi, gây trở ngại hoặc cản trở sự thành công.",Unfavorable circumstances or conditions that reduce the chances of success.,"major disadvantages, potential disadvantages, weigh the disadvantages","Syn: drawbacks, cons / Ant: advantages, pros",at a disadvantage (ở thế bất lợi),Tiền tố phủ định dis- + advantage + hậu tố số nhiều -s.,"Neutral/Academic - Sử dụng phổ biến trong thảo luận, phân tích."
offer,"<img src=""offer.jpg"">",/ˈɒf.ər/,[sound:offer.mp3],"đề nghị, cung cấp",They {{c1::offered}} her a job with a high salary.,"Động từ/Danh từ thể hiện hành động đưa ra lời đề nghị, mời nhận cái gì đó hoặc chủ động giúp đỡ.","To present something for acceptance, rejection, or consideration.","offer help, job offer, offer a choice","Syn: propose, provide / Ant: refuse, decline",on offer (đang được bày bán / có sẵn),Gốc từ Latin 'offerre' (đưa ra trước mặt).,Neutral - Thường dùng trong giao tiếp hàng ngày và công việc.
wisdom,"<img src=""wisdom.jpg"">",/ˈwɪz.dəm/,[sound:wisdom.mp3],"trí tuệ, sự khôn ngoan",She gained much {{c1::wisdom}} from years of experience.,Danh từ chỉ khả năng đưa ra phán đoán đúng đắn dựa trên kiến thức và kinh nghiệm sống.,"The quality of having experience, knowledge, and good judgment.","words of wisdom, conventional wisdom, gain wisdom","Syn: intelligence, insight / Ant: foolishness, ignorance",wisdom tooth (răng khôn),"Tính từ wise + hậu tố danh từ -dom (trạng thái, phẩm chất).","Formal/Academic - Mang sắc thái trang trọng, triết lý."
raise,"<img src=""raise.jpg"">",/reɪz/,[sound:raise.mp3],"nâng lên, nuôi dưỡng, gây quỹ",The government plans to {{c1::raise}} taxes next year.,"Ngoại động từ diễn tả hành động nhấc/nâng cái gì lên vị trí cao hơn, nuôi nấng trẻ em, hoặc thu thập quỹ/tiền.","To lift or move something to a higher position, or to bring up children.","raise awareness, raise funds, raise kids","Syn: elevate, rear, collect / Ant: lower, drop","raise a question (đặt ra câu hỏi), raise an eyebrow (ngạc nhiên)",Từ tiếng Bắc Âu cổ 'reisa' (làm cho đứng lên).,Neutral - Sử dụng phổ biến trong mọi hoàn cảnh.
deeper,"<img src=""deeper.jpg"">",/ˈdiː.pər/,[sound:deeper.mp3],sâu hơn,We need a {{c1::deeper}} understanding of the problem.,"Dạng so sánh hơn của tính từ 'deep', dùng để miêu tả độ sâu lớn hơn về khoảng cách hoặc mức độ phức tạp, tri thức.",Comparative form of deep; extending further down or being more profound.,"deeper understanding, deeper level, dig deeper",Syn: more profound / Ant: shallower,go deeper into (đi sâu vào nghiên cứu cái gì),Tính từ deep + hậu tố so sánh hơn -er.,Neutral - Thường dùng trong cả đời sống và phân tích học thuật.
due to,"<img src=""dueto.jpg"">",/dʒuː tuː/,[sound:dueto.mp3],"do, bởi vì",The flight was delayed {{c1::due to}} heavy rain.,"Giới từ dùng để chỉ nguyên nhân, lý do của một sự việc (thường đi kèm danh từ/cụm danh từ).",Because of or as a result of.,"due to the fact that, due to bad weather, due to lack of","Syn: because of, owing to / Ant: N/A",due to (do nguyên nhân từ),Tính từ due + giới từ to.,"Formal/Academic - Rất phổ biến trong văn viết chính thức, tin tức."
effort,"<img src=""effort.jpg"">",/ˈef.ət/,[sound:effort.mp3],"nỗ lực, sự cố gắng",Passing the exam requires a lot of hard {{c1::effort}}.,"Danh từ chỉ sức lực, tinh thần hoặc hành động bỏ ra để hoàn thành một mục tiêu/công việc.",A meaguer or strenuous exertion of physical or mental power.,"make an effort, joint effort, worth the effort","Syn: attempt, endeavor / Ant: laziness, inactivity",spare no effort (không tiếc sức lực),"Tiền tố ex- (ra ngoài) + fort (sức mạnh, từ Latin 'fortis').",Neutral - Dùng phổ biến trong mọi ngữ cảnh.
individual,"<img src=""individual.jpg"">",/ˌɪn.dɪˈvɪdʒ.u.əl/,[sound:individual.mp3],"cá nhân, riêng biệt",Each {{c1::individual}} in the team has unique skills.,"Danh từ hoặc tính từ chỉ một người riêng lẻ/đơn lẻ trong tập thể, hoặc thuộc về tính chất riêng biệt.","Single; separate, or a single human being as distinct from a group.","individual needs, highly individual, individual rights","Syn: personal, single / Ant: collective, group",individual differences (sự khác biệt cá nhân),Tiền tố in- (không) + dividual (có thể chia nhỏ) -> không thể chia tách nhỏ hơn.,"Formal/Academic - Thường dùng trong xã hội học, pháp lý, giáo dục."
confidence,"<img src=""confidence.jpg"">",/ˈkɒn.fɪ.dəns/,[sound:confidence.mp3],"sự tự tin, niềm tin",She answered all the questions with great {{c1::confidence}}.,Danh từ chỉ trạng thái tin tưởng vào khả năng của bản thân hoặc sự tin tưởng dành cho ai đó.,A feeling of self-assurance arising from one's appreciation of one's own abilities.,"gain confidence, lack of confidence, boost confidence","Syn: assurance, trust / Ant: doubt, insecurity",take someone into one's confidence (tâm sự riêng với ai),Gốc Latin 'confidere' (tin tưởng hoàn toàn): con- (cùng) + fidere (tin).,Neutral - Sử dụng rất rộng rãi.
material,"<img src=""material.jpg"">",/məˈtɪə.ri.əl/,[sound:material.mp3],"vật liệu, tài liệu, vật chất",Wood is a traditional {{c1::material}} for making furniture.,"Danh từ chỉ nguyên liệu để sản xuất/xây dựng, hoặc tài liệu thông tin; tính từ chỉ tính chất thuộc về vật chất.",The matter from which a thing is or can be made; or information used in writing.,"raw material, learning material, material world","Syn: substance, matter / Ant: spiritual, immaterial",material girl (cô gái coi trọng vật chất),"Gốc Latin 'materia' (chất liệu, gỗ xẻ).","Neutral - Sử dụng linh hoạt trong kỹ thuật, giáo dục và đời sống."
truly,"<img src=""truly.jpg"">",/ˈtruː.li/,[sound:truly.mp3],"thực sự, chân thành",I am {{c1::truly}} sorry for the mistake I made.,"Trạng từ dùng để nhấn mạnh sự thật, tính chân thành hoặc đúng đắn của một lời nói/hành động.",In a truthful way; sincerely or genuinely.,"truly remarkable, truly unique, yours truly","Syn: genuinely, really / Ant: falsely, insincerely",yours truly (ký tên cuối thư / nghĩa lóng: bản thân tôi),Tính từ true + hậu tố trạng từ -ly (bỏ -e).,Neutral - Nhấn mạnh cảm xúc hoặc sự thật.
matter,"<img src=""matter.jpg"">",/ˈmæt.ər/,[sound:matter.mp3],"vấn đề, có ý nghĩa/quan trọng",It doesn't {{c1::matter}} what color you choose.,"Danh từ chỉ vấn đề, sự việc; Động từ có nghĩa là có tầm quan trọng, ảnh hưởng lớn.",A subject or situation under consideration; to be important or have significance.,"as a matter of fact, private matter, no matter what","Syn: issue, signify / Ant: ignore (v)",no matter (dù cho có... đi nữa),"Gốc Latin 'materia' (chất, đề tài).",Neutral - Phổ biến trong cả giao tiếp khẩu ngữ lẫn văn bản.
expected,"<img src=""expected.jpg"">",/ɪkˈspek.tɪd/,[sound:expected.mp3],"được dự đoán, mong đợi",The project was finished sooner than {{c1::expected}}.,"Tính từ/Dạng quá khứ phân từ mô tả điều gì đó đã được dự tính, tiên đoán là sẽ xảy ra.",Regarded as likely to happen; anticipated.,"as expected, expected outcome, expected date","Syn: anticipated, predicted / Ant: unexpected, surprising",as might be expected (đúng như dự đoán),Động từ expect + hậu tố quá khứ -ed.,Neutral - Dùng trong nhiều ngữ cảnh đời sống và báo cáo.
position,"<img src=""position.jpg"">",/pəˈzɪʃ.ən/,[sound:position.mp3],"vị trí, tư thế, chức vụ",She holds an important {{c1::position}} in the company.,"Danh từ chỉ vị trí địa lý, tư thế cơ thể, hoặc chức vụ công việc trong tổ chức.",A place where someone or something is located or has been put; or a job.,"current position, leadership position, in a good position","Syn: location, status, post / Ant: N/A",in a position to (ở vào thế có thể làm gì),"Gốc Latin 'positio' (sự đặt, để) từ 'ponere'.",Neutral/Formal - Rất phổ biến trong công việc và khoa học.
pursue,"<img src=""pursue.jpg"">",/pəˈsjuː/,[sound:pursue.mp3],theo đuổi,He wants to {{c1::pursue}} a career in medicine.,"Động từ chỉ hành động đuổi theo, đuổi bắt ai đó, hoặc quyết tâm thực hiện một mục tiêu/đam mê.",To follow or chase someone or something; to try to achieve a goal.,"pursue a goal, pursue a career, pursue happiness","Syn: chase, seek, follow / Ant: abandon, give up",pursue all avenues (thử mọi cách có thể),"Tiền tố pro- (phía trước) + sequi (theo sau, Latin).","Formal/Academic - Thường dùng khi nói về sự nghiệp, ước mơ, học tập."
remain,"<img src=""remain.jpg"">",/rɪˈmeɪn/,[sound:remain.mp3],"vẫn còn, duy trì",Please {{c1::remain}} seated until the plane stops completely.,"Động từ chỉ trạng thái giữ nguyên không thay đổi, hoặc còn lại ở một vị trí sau khi người khác rời đi.",To continue to exist or stay in the same state or condition.,"remain calm, remain silent, remain unchanged","Syn: stay, continue / Ant: leave, depart",it remains to be seen (vẫn còn phải xem xét/chờ kết quả),"Tiền tố re- (trở lại) + manere (ở lại, Latin).","Neutral/Formal - Thường dùng trong thông báo, văn bản chính thức."
