English,IMG,Transcription,Audio,Vietnamese,Sentence,Vietnamese_Explain,English_Explain,Collocations,Synonyms_Antonyms,Phrasal_Idioms,Word_Analysis,Nuance_Register
capability,"<img src=""capability.jpg"">",/ˌkeɪpəˈbɪləti/,[sound:capability.mp3],"khả năng, năng lực",The company has the {{c1::capability}} to manufacture high-quality components.,Khả năng hoặc năng lực thực chất để làm một việc gì đó (thường mang tính tiềm năng hoặc kỹ thuật).,The power or ability to do something.,"beyond one's capability, financial capability, technical capability","Syn: ability, capacity | Ant: inability, incompetence",to the best of one's capability,"cap (gốc Latin 'capere' - cầm, nắm) + -ability (hậu tố danh từ chỉ khả năng)","Formal / Academic - Thường dùng trong bối cảnh công việc, kỹ thuật hoặc học thuật."
inability,"<img src=""inability.jpg"">",/ˌɪnəˈbɪləti/,[sound:inability.mp3],"sự bất lực, không có khả năng",His {{c1::inability}} to speak English fluently made it hard to find a job.,"Trạng thái không thể hoặc không có đủ khả năng, kỹ năng để làm việc gì đó.",The state of being unable to do something.,"inability to cope, physical inability, chronic inability","Syn: incapacity, failure | Ant: ability, capability",None,in- (tiền tố phủ định: không) + ability (khả năng),"Formal / Neutral - Thường dùng trong văn viết trang trọng, báo cáo."
restricted,"<img src=""restricted.jpg"">",/rɪˈstrɪktɪd/,[sound:restricted.mp3],"bị hạn chế, bị giới hạn",Access to the military base is strictly {{c1::restricted}}.,"Bị giới hạn trong phạm vi, kích thước, hoặc quyền tiếp cận bởi luật pháp hoặc quy định.","Limited in extent, number, scope, or access.","restricted area, restricted access, highly restricted","Syn: limited, confined | Ant: unrestricted, unlimited",None,re- (tiền tố: lặp lại/ngược lại) + strict (gốc Latin 'stringere' - siết chặt) + -ed (hậu tố tính từ),"Formal / Neutral - Dùng nhiều trong văn bản pháp luật, biển báo, hành chính."
finite,"<img src=""finite.jpg"">",/ˈfaɪnaɪt/,[sound:finite.mp3],"có hạn, có giới hạn",The Earth has a {{c1::finite}} amount of natural resources.,"Có giới hạn rõ ràng về kích thước, thời gian hoặc số lượng (không vô hạn).",Having limits or bounds; not infinite.,"finite resources, finite number, finite lifetime","Syn: limited, bounded | Ant: infinite, endless",None,fin (gốc Latin 'finis' - kết thúc/giới hạn) + -ite (hậu tố tính từ),"Academic / Formal - Thường dùng trong toán học, khoa học, kinh tế."
unlimited,"<img src=""unlimited.jpg"">",/ʌnˈlɪmɪtɪd/,[sound:unlimited.mp3],"vô hạn, không giới hạn",This internet plan offers {{c1::unlimited}} data usage.,"Không có giới hạn về số lượng, mức độ hoặc quy mô.","Not limited or restricted in terms of number, quantity, or extent.","unlimited access, unlimited potential, unlimited budget","Syn: infinite, boundless | Ant: limited, restricted",None,un- (tiền tố phủ định: không) + limit (giới hạn) + -ed (hậu tố tính từ),Neutral / Commercial - Thường dùng trong quảng cáo dịch vụ hoặc mô tả tiềm năng.
entail,,/ɪnˈteɪl/,[sound:entail.mp3],"đòi hỏi, kéo theo, bao gồm",Winning this contract will {{c1::entail}} hard work and long hours.,"Đòi hỏi, kéo theo cái gì đó như một kết quả hoặc phần tất yếu không thể tránh khỏi.",To involve something as a necessary or inevitable part or consequence.,"entail consequences, entail a risk, entail expense","Syn: involve, require, necessitate | Ant: exclude, eliminate",None,"en- (tiền tố làm cho/gây ra) + tail (gốc Pháp cổ 'taillier' - cắt giảm, gán nợ)","Formal / Academic - Sử dụng nhiều trong văn viết, tranh luận logic."
exclude,"<img src=""exclude.jpg"">",/ɪkˈskluːd/,[sound:exclude.mp3],"loại trừ, ngăn chặn, không bao gồm",The club reserves the right to {{c1::exclude}} anyone who breaks the rules.,"Cố ý không cho phép ai tham gia, hoặc không bao gồm cái gì đó vào một tập hợp.","To deny someone access to or bar them from a place, group, or privilege; to keep out.","exclude possibility, mutually exclude, exclude from a group","Syn: bar, ban, leave out | Ant: include, admit",None,ex- (tiền tố: ra ngoài) + clud/clus (gốc Latin 'claudere' - đóng lại),"Formal / Neutral - Thường dùng trong luật pháp, khoa học, thống kê."
successfully,,/səkˈsesfəli/,[sound:successfully.mp3],một cách thành công,She {{c1::successfully}} completed her doctoral thesis last month.,Trạng từ thể hiện việc đạt được kết quả mong muốn hoặc hoàn thành tốt mục tiêu.,In a way that achieves the desired aim or result.,"successfully complete, successfully launch, successfully operate","Syn: effectively, triumphantly | Ant: unsuccessfully, ineffectively",None,sub- (sau đó biến thành suc-: dưới/tiếp theo) + cess (gốc 'cedere' - đi) -> success (sự thành công) + -ful (đầy rẫy) + -ly (hậu tố trạng từ),Neutral - Phổ biến trong mọi ngữ cảnh từ đời sống đến công việc.
ineffectively,"<img src=""ineffectively.jpg"">",/ˌɪnɪˈfektɪvli/,[sound:ineffectively.mp3],không hiệu quả,"The resources were allocated {{c1::ineffectively}}, resulting in wasted money.","Thực hiện một hành động nhưng không đạt được mục tiêu hay kết quả mong muốn, gây lãng phí.",In a way that does not produce the desired effect or result.,"work ineffectively, communicate ineffectively, manage ineffectively","Syn: inefficiently, poorly | Ant: effectively, successfully",None,in- (tiền tố phủ định: không) + effect (hiệu quả) + -ive (hậu tố tính từ) + -ly (hậu tố trạng từ),"Formal / Neutral - Dùng trong đánh giá hiệu suất công việc, học tập."
redundant,"<img src=""redundant.jpg"">",/rɪˈdʌndənt/,[sound:redundant.mp3],"dư thừa, bị sa thải (do thừa nhân sự)","My computer has a backup system, making the manual logs {{c1::redundant}}.","Trở nên thừa thãi, không còn cần thiết nữa vì đã có thứ khác thay thế; hoặc nhân viên bị sa thải vì doanh nghiệp cắt giảm nhân sự.",Not or no longer needed or useful; superfluous; (of a person) laid off.,"make/render redundant, redundant population, redundant systems","Syn: superfluous, excess | Ant: essential, necessary",make someone redundant,"re- (lặp lại) + und (gốc Latin 'unda' - làn sóng/tràn ra) + -ant (hậu tố tính từ) -> tràn ngập, dư thừa","Formal / Professional - Rất phổ biến trong bối cảnh công sở, kinh tế (sa thải) hoặc kỹ thuật."
