English,IMG,Transcription,Audio,Vietnamese,Sentence,Vietnamese_Explain,English_Explain,Collocations,Synonyms_Antonyms,Phrasal_Idioms,Word_Analysis,Nuance_Register
seek,"<img src=""seek.jpg"">",/siːk/,[sound:seek.mp3],"tìm kiếm, mưu cầu",Many young people move to big cities to {{c1::seek}} better job opportunities.,"Động từ 'seek' có nghĩa là tìm kiếm điều gì đó (thường là phi vật thể như lời khuyên, cơ hội, sự giúp đỡ) hoặc cố gắng đạt được điều gì đó.","To attempt to find, obtain, or achieve something.","seek advice, seek help, seek permission","Syn: search, pursue | Ant: avoid, ignore",seek out (tìm kiếm cẩn thận),Gốc từ Anh cổ 'sēcan' (tìm kiếm).,Formal / Academic: Thường dùng trong văn viết hoặc giao tiếp trang trọng hơn 'look for'.
potential,"<img src=""potential.jpg"">",/pəˈtenʃl/,[sound:potential.mp3],tiềm năng,The young player has the {{c1::potential}} to become a world-class athlete.,"Khả năng phát triển, thành công hoặc trở thành cái gì đó trong tương lai.",Qualities or abilities that may be developed and lead to future success or usefulness.,"full potential, potential customer, reach one's potential","Syn: capacity, capability, promise | Ant: inability, weakness",N/A,pot- (sức mạnh/khả năng) + -ial (hậu tố tính từ/danh từ),"Neutral/Professional - Thường dùng trong đánh giá năng lực, kinh doanh, giáo dục."
express,"<img src=""express.jpg"">",/ɪkˈspres/,[sound:express.mp3],"bày tỏ, thể hiện",It is important to {{c1::express}} your feelings clearly to avoid misunderstandings.,"Bày tỏ, bộc lộ ý nghĩ, cảm xúc hoặc quan điểm qua lời nói, hành động, hoặc nghệ thuật.",To convey a thought or feeling in words or by gestures and conduct.,"express feelings, express concern, express an opinion","Syn: convey, articulate | Ant: suppress, hide",express oneself (thể hiện bản thân),"Tiền tố 'ex-' (ra ngoài) + Gốc La-tinh 'premere' (ép, nhấn).",Neutral: Dùng phổ biến trong cả giao tiếp hàng ngày và văn viết.
assess,"<img src=""assess.jpg"">",/əˈses/,[sound:assess.mp3],"đánh giá, định giá",Teachers need time to {{c1::assess}} the progress of each student.,"Xem xét kỹ lưỡng để đánh giá chất lượng, giá trị, tính chất hoặc mức độ của một cái gì đó.","To evaluate or estimate the nature, ability, or quality of someone or something.","assess the impact, assess damages, assess performance","Syn: evaluate, judge | Ant: ignore, neglect",N/A,Gốc La-tinh 'assidere' (ngồi bên cạnh phán xử).,"Formal / Academic: Phổ biến trong môi trường giáo dục, kinh doanh và nghiên cứu."
depended,"<img src=""depended.jpg"">",/dɪˈpendɪd/,[sound:depended.mp3],"đã phụ thuộc, dựa vào",The success of the project {{c1::depended}} heavily on team cooperation.,"Dạng quá khứ/quá khứ phân từ của 'depend', có nghĩa là đã phụ thuộc hoặc bị quyết định bởi một yếu tố/người khác.",Past tense of depend: relied on someone or something for support or outcome.,"depended on, depended heavily upon","Syn: relied, counted on | Ant: independent",depend on/upon (phụ thuộc vào),Tiền tố 'de-' (xuống) + Gốc 'pendere' (treo) + Hậu tố quá khứ '-ed'.,Neutral: Dùng phổ biến trong mọi ngữ cảnh khi nói về quá khứ.
advisable,"<img src=""advisable.jpg"">",/ədˈvaɪ.zə.bəl/,[sound:advisable.mp3],"thích hợp, nên làm",It is {{c1::advisable}} to book your tickets in advance during peak season.,"Tính từ chỉ một hành động là khôn ngoan, hợp lý hoặc nên thực hiện để đạt kết quả tốt/tránh rủi ro.",Sensible and good idea in order to achieve something or avoid problems.,"highly advisable, advisable to do, deem advisable","Syn: recommended, sensible | Ant: inadvisable, foolish",N/A,Động từ 'advise' (khuyên) + Hậu tố tính từ '-able' (có thể/đáng).,"Formal: Thường dùng trong lời khuyên chính thức, thông báo hoặc văn bản."
adult,"<img src=""adult.jpg"">",/ˈæd.ʌlt/,[sound:adult.mp3],"người trưởng thành, người lớn","As a fully grown {{c1::adult}}, he is responsible for his own decisions.",Một người hoặc động vật đã phát triển hoàn toàn về mặt thể chất và trí tuệ/pháp lý.,A person who is fully grown or developed.,"young adult, responsible adult, adult education","Syn: grown-up, mature person | Ant: child, minor",adulting (danh từ khẩu ngữ: việc làm người lớn),Gốc La-tinh 'adolescere' -> 'adultus' (đã lớn lên).,Neutral: Từ chuẩn mực thông dụng trong mọi ngữ cảnh.
upon,"<img src=""upon.jpg"">",/əˈpɒn/,[sound:upon.mp3],"trên, ngay khi",The decision was made based {{c1::upon}} the evidence presented.,"Giới từ mang nghĩa tương tự 'on', nhưng mang tính trang trọng hơn; dùng chỉ vị trí hoặc thời điểm tiếp nối ngay lập tức.",More formal term for 'on'.,"depend upon, once upon a time, upon arrival","Syn: on, on top of | Ant: N/A","upon request (theo yêu cầu), once upon a time (ngày xửa ngày xưa)",Ghép từ 'up' (lên) + 'on' (trên).,"Formal / Literary: Trang trọng hơn 'on', hay dùng trong văn viết, văn học hoặc pháp lý."
adolescence,"<img src=""adolescence.jpg"">",/ˌæd.əˈles.əns/,[sound:adolescence.mp3],Thời thanh thiếu niên,Emotional changes are very common during {{c1::adolescence}}.,Giai đoạn quá độ về mặt tâm sinh lý từ trẻ em sang người trưởng thành (thường 10-19 tuổi).,The period of time in a person's life between being a child and an adult.,"early adolescence, late adolescence, transition into adolescence","Syn: youth, teenage years | Ant: adulthood",N/A,"Root: adolescere (lớn lên, trưởng thành) + Suffix: -ence (tạo danh từ)",Formal/Academic - Dùng nhiều trong tâm lý học và giáo dục.
demand,"<img src=""demand.jpg"">",/dɪˈmɑːnd/,[sound:demand.mp3],"yêu cầu, nhu cầu",There is a high {{c1::demand}} for skilled software developers today.,Sự đòi hỏi kiên quyết (danh từ/động từ) hoặc nhu cầu tiêu thụ hàng hóa/dịch vụ trên thị trường.,"An insistent and peremptory request, or the desire of purchasers for goods.","in high demand, meet the demand, supply and demand","Syn: requirement, claim | Ant: supply, offer",on demand (theo yêu cầu/khi có nhu cầu),Tiền tố 'de-' (hoàn toàn) + Gốc La-tinh 'mandare' (ủy thác/yêu cầu).,Neutral / Business: Dùng phổ biến cả trong đời sống lẫn kinh tế.
strict,"<img src=""strict.jpg"">",/strɪkt/,[sound:strict.mp3],"nghiêm khắc, nghiêm ngặt",Our school has a {{c1::strict}} policy regarding attendance and punctuality.,"Yêu cầu sự tuân thủ tuyệt đối các quy tắc, không dễ dãi hay linh hoạt.","Demanding that rules, especially about behavior, should be obeyed exactly.","strict rules, strict parents, strict discipline","Syn: rigorous, stern | Ant: lenient, flexible",in the strict sense (theo nghĩa nghiêm ngặt),Gốc La-tinh 'stringere' (trói chặt/thắt chặt).,Neutral: Được sử dụng rộng rãi trong đời sống và quản lý.
rebellious,"<img src=""rebellious.jpg"">",/rɪˈbel.i.əs/,[sound:rebellious.mp3],"nổi loạn, chống đối",Teenagers often show {{c1::rebellious}} behavior as they try to gain independence.,"Tính từ mô tả hành vi hoặc thái độ chống lại thẩm quyền, quy tắc hoặc chính quyền.","Showing a desire to resist authority, control, or convention.","rebellious teenager, rebellious phase, rebellious streak","Syn: defiant, disobedient | Ant: obedient, submissive",N/A,Gốc 'rebel' (kẻ nổi loạn) + Hậu tố tính từ '-ious'.,"Neutral: Phổ biến khi mô tả tính cách, tâm lý xã hội."
vital,"<img src=""vital.jpg"">",/ˈvaɪ.təl/,[sound:vital.mp3],"thiết yếu, quan trọng sống còn",Water is {{c1::vital}} for the survival of all living organisms.,"Cực kỳ quan trọng, sống còn, không thể thiếu cho sự sống hoặc sự thành công.",Absolutely necessary or important; essential.,"vital role, vital importance, vital signs","Syn: crucial, essential | Ant: trivial, unimportant",play a vital role (đóng vai trò sống còn),Gốc La-tinh 'vita' (sự sống) + Hậu tố tính từ '-al'.,Formal / Academic: Thường dùng để nhấn mạnh tầm quan trọng hơn từ 'important'.
emphasis,"<img src=""emphasis.jpg"">",/ˈem.fə.sɪs/,[sound:emphasis.mp3],"sự nhấn mạnh, sự coi trọng",Our university puts strong {{c1::emphasis}} on practical experience.,Sự chú ý đặc biệt hoặc tầm quan trọng dành cho một điều gì đó.,"Special importance, value, or prominence given to something.","place emphasis on, put emphasis on, strong emphasis","Syn: stress, priority, focus | Ant: neglect, understatement",shift the emphasis,em- (bên trong) + phas (hiển thị) + -is (hậu tố danh từ),"Formal/Academic - Sử dụng rộng rãi trong diễn thuyết, báo cáo, bài luận"
nursing home,,/ˈnɜː.sɪŋ ˌhəʊm/,[sound:nursinghome.mp3],viện dưỡng lão,Her elderly grandmother lives in a comfortable {{c1::nursing home}}.,Cơ sở chăm sóc nội trú dành cho người cao tuổi hoặc người bệnh cần chăm sóc y tế liên tục.,A residential facility providing a high level of care for the elderly or ill.,"move into a nursing home, local nursing home, nursing home care","Syn: care home, retirement home | Ant: N/A",N/A,Danh từ ghép: 'nursing' (sự điều dưỡng) + 'home' (nhà).,Neutral: Thuật ngữ chuẩn mực trong y tế và xã hội.
generation gap,,/ˌdʒen.əˈreɪ.ʃən ɡæp/,[sound:generationgap.mp3],Khoảng cách thế hệ,The {{c1::generation gap}} often causes misunderstandings between parents and children.,"Sự khác biệt về suy nghĩ, giá trị sống và thái độ giữa thế hệ trẻ và thế hệ già.","A difference in attitudes, values, or behavior between younger and older people.","bridge the generation gap, wide generation gap, generation gap issue",Syn: age divide | Ant: generational harmony,N/A,Compound: generation (thế hệ) + gap (khoảng trống),Neutral/Sociological - Thuật ngữ xã hội rất thông dụng.
similarity,"<img src=""similarity.jpg"">",/ˌsɪm.ɪˈlær.ə.ti/,[sound:similarity.mp3],"Điểm tương đồng, sự giống nhau","Despite the generation gap, parents and children often share many {{c1::similarities}}.",Đặc điểm hoặc tính chất giống nhau giữa hai hay nhiều người/vật.,"The state of being similar, or a feature that things have in common.","striking similarity, share a similarity, spot the similarity","Syn: resemblance, likeness | Ant: difference, contrast",N/A,Root: similar (giống) + Suffix: -ity (tạo danh từ),Neutral - Dùng rộng rãi trong mọi văn phong.
access,"<img src=""access.jpg"">",/ˈæk.ses/,[sound:access.mp3],"Sự truy cập, quyền tiếp cận",Children nowadays have easy {{c1::access}} to information via the internet.,"Quyền, khả năng hoặc cơ hội được tiếp cận, sử dụng thông tin hay dịch vụ nào đó.","The opportunity or right to use, see, or reach something.","have access to, gain access, internet access","Syn: admission, entry | Ant: restriction, refusal",easy access,Prefix: ad- (hướng tới) + Root: cedere (đi/bước),Neutral/Formal - Từ phổ biến trong cả giao tiếp lẫn học thuật.
belief,"<img src=""belief.jpg"">",/bɪˈliːf/,[sound:belief.mp3],"Niềm tin, tín ngưỡng",Generational conflicts often stem from differences in core {{c1::beliefs}}.,"Cảm giác tin tưởng, sự chấp nhận điều gì đó là đúng đắn, hoặc hệ thống quan điểm sống.","An acceptance that something exists or is true, especially one without proof.","firm belief, core belief, religious belief","Syn: conviction, faith | Ant: doubt, disbelief",beyond belief,Root: believe (tin tưởng) -> Danh từ: belief,Neutral - Từ cơ bản phổ biến.
behaviour,"<img src=""behaviour.jpg"">",/bɪˈheɪvjər/,[sound:behaviour.mp3],"hành vi, ứng xử",His {{c1::behaviour}} at the party yesterday surprised everyone.,"Cách một người hành xử, phản ứng hoặc đối xử với người khác trong các tình huống cụ thể.",The way that someone behaves or conducts themselves.,"good/bad behaviour, human behaviour, social behaviour","Syn: conduct, demeanor | Ant: misbehaviour",be on your best behaviour,"be- (tiền tố tạo động từ) + have (giữ, xử trí) + -iour (hậu tố danh từ)",Neutral - Dùng phổ biến trong cả giao tiếp hàng ngày và văn bản khoa học/xã hội.
nuclear family,,/ˌnjuːkliər ˈfæməli/,[sound:nuclearfamily.mp3],gia đình hạt nhân,A {{c1::nuclear family}} usually consists of two parents and their children.,"Mô hình gia đình nhỏ chỉ bao gồm bố, mẹ và con cái sống chung dưới một mái nhà.",A family unit consisting of two parents and their children.,"traditional nuclear family, nuclear family structure",Syn: immediate family | Ant: extended family,N/A,nuclear (thuộc hạt nhân/trọng tâm) + family (gia đình),"Neutral/Academic - Thuật ngữ xã hội học, dùng nhiều trong thảo luận về gia đình."
argue,"<img src=""argue.jpg"">",/ˈɑːɡ.juː/,[sound:argue.mp3],"Tranh cãi, tranh luận",Teenagers often {{c1::argue}} with their parents about house rules.,"Thể hiện sự bất đồng ý kiến một cách gay gắt bằng lời nói, hoặc đưa ra lý lẽ để bảo vệ quan điểm.",To speak angrily to someone because you disagree with them.,"argue with someone, argue about something, argue for/against","Syn: dispute, quarrel | Ant: agree, concur",argue out,"Root: arguere (tiếng Latinh - làm rõ, chứng minh)",Neutral - Thường dùng trong cả giao tiếp hàng ngày và văn viết.
preserve,"<img src=""preserve.jpg"">",/prɪˈzɜːv/,[sound:preserve.mp3],"bảo tồn, giữ gìn",We need to {{c1::preserve}} our cultural heritage for future generations.,"Gìn giữ cái gì đó ở trạng thái nguyên vẹn, tốt đẹp hoặc ngăn nó khỏi bị hư hỏng, biến chất.",To keep something in its original state or in good condition.,"preserve culture, preserve food, preserve peace","Syn: protect, maintain, conserve | Ant: destroy, neglect",N/A,"pre- (trước) + serve/servare (giữ gìn, quan sát)","Formal/Neutral - Thường dùng trong bối cảnh lịch sử, văn hóa, môi trường."
commit,"<img src=""commit.jpg"">",/kəˈmɪt/,[sound:commit.mp3],"cam kết, thực hiện (tội lỗi)",He promised to {{c1::commit}} himself to completing the project on time.,"Cam kết cống hiến cho một mục tiêu/người nào đó, hoặc thực hiện một hành vi (thường là phạm tội/sai lầm).",To pledge or bind oneself to a course of action; or to perform an act (like a crime).,"commit a crime, commit suicide, commit to a relationship","Syn: dedicate, pledge, execute | Ant: break, breach",commit something to memory,"com- (cùng nhau) + mit/mittere (gửi, trao)","Neutral/Formal - Mang tính cam kết pháp lý, đạo đức hoặc hành vi nghiêm túc."
