English,IMG,Transcription,Audio,Vietnamese,Sentence,Vietnamese_Explain,English_Explain,Collocations,Synonyms_Antonyms,Phrasal_Idioms,Word_Analysis,Nuance_Register
suddenly,"<img src=""suddenly.jpg"">",/ˈsʌd.ən.li/,[sound:suddenly.mp3],"bất ngờ, đột ngột",The lights {{c1::suddenly}} went out during the storm.,"Dùng để diễn tả một hành động hoặc sự việc xảy ra một cách nhanh chóng, không dự đoán trước được.",Quickly and unexpectedly.,"suddenly realize, suddenly change, stop suddenly","Syn: abruptly, unexpectedly | Ant: gradually, slowly",all of a sudden,sudden (tính từ: đột ngột) + -ly (hậu tố tạo trạng từ),Neutral (Trung tính) - Dùng phổ biến trong cả giao tiếp hàng ngày và văn viết.
assist,"<img src=""assist.jpg"">",/əˈsɪst/,[sound:assist.mp3],"giúp đỡ, hỗ trợ",She offered to {{c1::assist}} the professor with his research project.,"Hành động giúp đỡ, hỗ trợ ai đó một phần công việc để họ hoàn thành mục tiêu.",To help someone or something by doing a share of the work.,"assist with/in, assist somebody to do something, greatly assist","Syn: help, aid, support | Ant: hinder, obstruct",assist in/with something,ad- (tiền tố: hướng tới) + sistere (gốc Latinh: đứng) -> đứng bên cạnh để giúp đỡ,"Formal (Trang trọng) - Thường được dùng trong môi trường công sở, học thuật hoặc ngữ cảnh lịch sự hơn từ 'help'."
progressively,"<img src=""progressively.jpg"">",/prəˈɡres.ɪv.li/,[sound:progressively.mp3],"tăng dần, từng bước một",The pain became {{c1::progressively}} worse as the night went on.,"Diễn tả mức độ hoặc trạng thái của sự việc tăng lên hoặc tiến triển một cách liên tục, đều đặn theo thời gian.","Steadily, in stages or by degrees.","progressively worse, progressively higher, become progressively difficult","Syn: gradually, increasingly | Ant: suddenly, abruptly",N/A,pro- (tiền tố: tiến về phía trước) + gress (gốc Latinh: bước đi) + -ive (hậu tố tính từ) + -ly (hậu tố trạng từ),"Academic/Formal (Học thuật/Trang trọng) - Phổ biến trong báo cáo khoa học, mô tả xu hướng hoặc văn bản chính thức."
balance,"<img src=""balance.jpg"">",/ˈbæləns/,[sound:balance.mp3],"sự cân bằng, làm cho cân bằng",It is important to keep a healthy {{c1::balance}} between work and life.,"Trạng thái mà các yếu tố khác nhau có tỉ lệ hoặc lượng bằng nhau, hợp lý; hoặc hành động giữ cho cân bằng.","A state where things are of equal weight, amount, or force.","keep/maintain a balance, strike a balance, lose one's balance","Syn: equilibrium, stability | Ant: imbalance, instability","balance out, hang in the balance",Từ tiếng Latin 'bilanx' (có hai đĩa cân): bi- (hai) + lanx (đĩa cân).,"Neutral. Dùng phổ biến trong cả văn phong trang trọng, học thuật và giao tiếp hàng ngày."
budget,"<img src=""budget.jpg"">",/ˈbʌdʒɪt/,[sound:budget.mp3],"ngân sách, quỹ chi tiêu",We need to plan our monthly {{c1::budget}} carefully to avoid overspending.,Kế hoạch chi tiêu chi tiết số tiền bạn có trong một khoảng thời gian cụ thể.,An estimate of income and expenditure for a set period of time.,"on a budget, tight budget, budget cut","Syn: financial plan, funds | Ant: debt, deficit",budget for something,"Có nguồn gốc từ tiếng Pháp cổ 'bougette' (túi da nhỏ, bao da đựng tiền).","Neutral. Thường dùng trong tài chính cá nhân, gia đình hoặc doanh nghiệp."
constantly,"<img src=""constantly.jpg"">",/ˈbʌdʒɪt/,[sound:constantly.mp3],"liên tục, không ngừng",The technology industry is {{c1::constantly}} changing and evolving.,"Một cách liên tục, đều đặn, không thay đổi hoặc xảy ra lặp đi lặp lại nhiều lần.",All the time; repeatedly or continuously.,"constantly change, constantly remind, constantly complain","Syn: continuously, perpetually, always | Ant: occasionally, rarely",N/A,Gốc từ 'constant' (từ Latin 'constare' - đứng vững) + hậu tố trạng từ '-ly'.,Neutral. Phổ biến trong cả văn phong học thuật lẫn đời sống hàng ngày.
duty,"<img src=""duty.jpg"">",/ˈdjuːti/,[sound:duty.mp3],"nhiệm vụ, bổn phận, trách nhiệm",It is the {{c1::duty}} of every citizen to obey the law.,"Việc mà một người bắt buộc phải làm vì trách nhiệm đạo đức, pháp lý hoặc công việc.",A moral or legal obligation; a responsibility.,"sense of duty, on duty, perform a duty","Syn: obligation, responsibility, task | Ant: privilege, right","call of duty, double duty","Từ tiếng Anglo-Norman 'duetee' (điều phải trả, nợ), gốc từ 'due' + hậu tố '-ty' (chỉ trạng thái, tính chất).","Formal/Neutral. Thường dùng trong bối cảnh công việc, đạo đức, nghĩa vụ công dân."
emotional,"<img src=""emotional.jpg"">",/ɪˈməʊʃənl/,[sound:emotional.mp3],"thuộc về cảm xúc, dễ cảm động",Moving to a new city can be an {{c1::emotional}} experience for many people.,"Liên quan đến cảm xúc của con người, hoặc dễ bị tác động và thể hiện cảm xúc mạnh mẽ.",Relating to a person's emotions; showing strong feelings.,"emotional support, emotional response, emotional stability","Syn: passionate, sensitive, moving | Ant: rational, cold, detached",emotional roller coaster,"Danh từ 'emotion' (gốc Latin 'emovere' - kích thích, lay động) + hậu tố tính từ '-al' (liên quan đến).",Neutral. Sử dụng rộng rãi từ đời sống thường ngày đến nghiên cứu tâm lý.
expense,"<img src=""expense.jpg"">",/ɪkˈspens/,[sound:expense.mp3],"chi phí, khoản chi tiêu",The company will cover your travel {{c1::expenses}} during the business trip.,"Số tiền cần phải chi ra cho một hoạt động, dịch vụ hoặc hàng hóa nào đó.",The cost required for something; the money spent on something.,"at the expense of, travel expenses, living expenses","Syn: cost, expenditure, spending | Ant: income, revenue, profit",at someone's expense,"Từ tiếng Latin 'expensa' (tiền đã tiêu), từ 'expendere' (trả ra, cân trọng lượng tiền xu).","Neutral to Formal. Thường dùng trong tài chính cá nhân, kế toán doanh nghiệp hoặc đời sống."
gradually,"<img src=""gradually.jpg"">",/ˈɡrædʒuəli/,[sound:gradually.mp3],"dần dần, từ từ",She {{c1::gradually}} recovered from her illness and returned to work.,"Diễn ra một cách chậm rãi, theo từng bước hoặc từng giai đoạn, không đột ngột.","Slowly, by degrees; step by step.","gradually increase, gradually disappear, gradually change","Syn: slowly, progressively, step-by-step | Ant: suddenly, abruptly",N/A,"Tính từ 'gradual' (từ tiếng Latin 'gradus' - bước đi, cấp độ) + hậu tố trạng từ '-ly'.","Neutral. Thích hợp cho cả văn phong học thuật, mô tả biểu đồ và đời sống thường ngày."
guidance,"<img src=""guidance.jpg"">",/ˈɡaɪdns/,[sound:guidance.mp3],"sự hướng dẫn, sự chỉ dẫn","Under the teacher's {{c1::guidance}}, the students successfully completed the project.","Sự khuyên bảo, định hướng hoặc chỉ dẫn được đưa ra bởi người có kinh nghiệm hoặc chuyên môn.",Help or advice that is given to someone to help them make a decision or do a job.,"career guidance, under the guidance of, provide guidance","Syn: advice, direction, leadership | Ant: neglect, misdirection",N/A,"Động từ 'guide' (dẫn đường) + hậu tố danh từ '-ance' (hành động, trạng thái của việc hướng dẫn).","Neutral/Formal. Phổ biến trong môi trường giáo dục, tư vấn nghề nghiệp hoặc quản lý dự án."
handle,"<img src=""handle.jpg"">",/ˈhændl/,[sound:handle.mp3],"xử lý, giải quyết, quán xuyến",She knows how to {{c1::handle}} difficult customers with patience and a smile.,"Giải quyết một tình huống, đối phó với một vấn đề, hoặc điều khiển, điều trị một vật/người.","To deal with, control, or manage a situation, person, or object.","handle a situation, handle with care, handle pressure","Syn: deal with, manage, tackle, cope with | Ant: ignore, neglect, fail",fly off the handle,"Từ tiếng Anh cổ 'handlian' (chạm vào, điều khiển bằng tay), xuất phát từ danh từ 'hand' (bàn tay).",Neutral. Dùng cả trong văn phong công sở chuyên nghiệp và đời sống sinh hoạt.
healthy,"<img src=""healthy.jpg"">",/ˈhelθi/,[sound:healthy.mp3],"khỏe mạnh, lành mạnh",Eating fresh vegetables and exercising daily are key to a {{c1::healthy}} lifestyle.,"Có sức khỏe tốt, không bị bệnh tật; hoặc có lợi cho sức khỏe thể chất và tinh thần.",In good physical or mental condition; promoting good health.,"healthy lifestyle, healthy diet, healthy relationship","Syn: well, fit, wholesome, beneficial | Ant: sick, ill, unhealthy, harmful",healthy as a horse,"Danh từ 'health' (từ tiếng Anh cổ 'hælth' - sự toàn vẹn, nguyên vẹn) + hậu tố tính từ '-y'.","Neutral. Từ vựng căn bản và thông dụng trong đời sống, y tế, dinh dưỡng."
