English,IMG,Transcription,Audio,Vietnamese,Sentence,Vietnamese_Explain,English_Explain,Collocations,Synonyms_Antonyms,Phrasal_Idioms,Word_Analysis,Nuance_Register
breadwinner,"<img src=""breadwinner.jpg"">",/ˈbredwɪnər/,[sound:breadwinner.mp3],Trụ cột gia đình,"In many traditional households, the father is the main {{c1::breadwinner}}.",Thành viên chịu trách nhiệm kiếm nguồn thu nhập chính để nuôi sống cả gia đình.,A person who earns money to support their family.,"sole breadwinner, main breadwinner, family breadwinner","Syn: provider, earner / Ant: dependent",bring home the bacon,bread (bánh mì/thức ăn) + winner (người giành được),Neutral (Trung tính) - Dùng phổ biến trong cả văn nói và văn viết.
homemaker,"<img src=""homemaker.jpg"">",/ˈhoʊmmeɪkər/,[sound:homemaker.mp3],Người nội trợ,She decided to stay at home and become a full-time {{c1::homemaker}}.,"Người quản lý gia đình, chăm sóc nhà cửa và con cái thay vì đi làm bên ngoài.","A person who manages a home and family, especially a housewife or househusband.","full-time homemaker, dedicated homemaker, modern homemaker","Syn: housewife, househusband / Ant: career person",keep house,home (nhà) + maker (người làm/tạo ra),Neutral (Trung tính) - Mang sắc thái tôn trọng hơn từ 'housewife'.
chore,"<img src=""chore.jpg"">",/tʃɔːr/,[sound:chore.mp3],"Việc nhà, việc vặt",Doing daily {{c1::chores}} helps children learn essential life skills.,"Công việc nhỏ, lặp đi lặp lại hàng ngày cần hoàn thành trong nhà.","A routine task, especially a household one.","household chore, daily chore, do chores","Syn: task, duty / Ant: leisure activity",a real chore (việc phiền phức/mệt mỏi),Từ tiếng Anh cổ 'chare' (công việc vặt),Neutral (Trung tính) - Dùng trong đời sống sinh hoạt hàng ngày.
bond,"<img src=""bond.jpg"">",/bɑːnd/,[sound:bond.mp3],"Mối liên kết, sự gắn kết",Eating meals together strengthens the {{c1::bond}} between family members.,"Sự kết nối về mặt cảm xúc, tình cảm hoặc trách nhiệm giữa các cá nhân.",A close connection joining two or more people.,"strong bond, family bond, form a bond","Syn: connection, tie, relationship / Ant: division, rift",bond over something,Từ tiếng Anh Trung đại 'band' (sợi dây buộc),"Neutral/Warm - Mang sắc thái ấm áp, thân thiết."
grocery,"<img src=""grocery.jpg"">",/ˈɡroʊsəri/,[sound:grocery.mp3],"Thực phẩm, hàng tạp hóa",We need to go to the store to buy some {{c1::groceries}} for dinner.,Thức ăn và các nhu yếu phẩm sinh hoạt hàng ngày mua ở siêu thị hoặc cửa hàng.,Items of food and other goods sold in a supermarket.,"grocery store, buy groceries, grocery list","Syn: foodstuffs, provisions / Ant: N/A",N/A,grocer (người bán hàng tạp hóa) + -y (hậu tố danh từ),Neutral (Trung tính) - Dùng thường ngày.
routine,"<img src=""routine.jpg"">",/ruːˈtiːn/,[sound:routine.mp3],"Thói quen, lịch trình hàng ngày",Having a healthy morning {{c1::routine}} makes your day more productive.,Chuỗi các hoạt động lặp đi lặp lại theo một thứ tự nhất định.,A sequence of actions regularly followed.,"daily routine, morning routine, establish a routine","Syn: habit, schedule / Ant: irregularity, spontaneity","break the routine, stuck in a rut",route (con đường) + -ine (hậu tố tính từ/danh từ),Neutral (Trung tính).
manner,"<img src=""manner.jpg"">",/ˈmænər/,[sound:manner.mp3],"Cách thức, thái độ (số nhiều: phép lịch sự)",Children should be taught good table {{c1::manners}} at home.,"Cách ứng xử, thái độ hoặc phương thức thực hiện hành động.",A way in which something is done or someone behaves.,"good manners, table manners, in a timely manner","Syn: etiquette, behavior, way / Ant: rudeness",mind your manners,Gốc Latin 'manus' (bàn tay -> cách thực hiện),Formal/Neutral - Dạng số nhiều 'manners' dùng chỉ lịch sự.
gap,"<img src=""gap.jpg"">",/ɡæp/,[sound:gap.mp3],"Khoảng trống, khoảng cách",The generation {{c1::gap}} can lead to misunderstandings between parents and kids.,"Khoảng trống không gian/thời gian hoặc sự khác biệt lớn về suy nghĩ, độ tuổi.","A break or space in something, or a difference between two things.","generation gap, gender gap, bridge the gap","Syn: divide, space, difference / Ant: continuity, closure",stopgap measure,Tiếng Bắc Âu cổ 'gap' (chỗ trống),Neutral (Trung tính).
bridge,"<img src=""bridge.jpg"">",/brɪdʒ/,[sound:bridge.mp3],"Cầu nối, thu hẹp (khoảng cách)",Good communication can {{c1::bridge}} the gap between family members.,Tạo mối liên kết hoặc làm bớt đi sự khác biệt giữa hai bên.,To reduce or remove the difference between two things.,"bridge the gap, bridge the divide, build a bridge","Syn: connect, link, reconcile / Ant: divide, separate",burn one's bridges,Gốc Anh cổ 'brycg' (cây cầu),Neutral/Metaphorical - Thường dùng theo nghĩa ẩn dụ.
nuclear family,,/ˌnuːkliər ˈfæməli/,[sound:nuclearfamily.mp3],Gia đình hạt nhân,A {{c1::nuclear family}} consists of only parents and their children living together.,Mô hình gia đình cơ bản chỉ gồm bố mẹ và các con.,A family unit consisting of two parents and their children.,"traditional nuclear family, modern nuclear family",Syn: immediate family / Ant: extended family,N/A,nuclear (hạt nhân/trung tâm) + family (gia đình),Academic/Sociological - Thuật ngữ xã hội học.
