English,IMG,Transcription,Audio,Vietnamese,Sentence,Vietnamese_Explain,English_Explain,Collocations,Synonyms_Antonyms,Phrasal_Idioms,Word_Analysis,Nuance_Register
cherish,"<img src=""cherish.jpg"">",/ˈtʃer.ɪʃ/,[sound:cherish.mp3],"yêu thương, trân trọng",I will always {{c1::cherish}} the memories we shared together.,"Yêu thương, trân trọng và giữ gìn điều gì đó hoặc ai đó rất quý giá đối với mình.",To protect and care for someone or something lovingly.,"cherish a memory, cherish freedom, cherish every moment","Syn: treasure, value | Ant: neglect, despise",hold dear,"Từ tiếng Pháp cổ 'chérir' (yêu thương), xuất phát từ 'cher' (đắt giá, thân thương).",Warm/Formal - Thường dùng trong văn viết hoặc diễn đạt tình cảm chân thành.
disregard,"<img src=""disregard.jpg"">",/ˌdɪs.rɪˈɡɑːd/,[sound:disregard.mp3],"coi thường, ngó lơ",He chose to {{c1::disregard}} the doctor's advice and continued working.,"Phớt lờ, không chú ý hoặc không coi trọng ý kiến, lời khuyên hay quy định nào đó.",To pay no attention to; ignore.,"total disregard, disregard safety rules, disregard advice","Syn: ignore, overlook | Ant: consider, respect",turn a blind eye to,"Tiền tố dis- (không) + regard (coi trọng, chú ý).",Formal - Thường dùng trong văn bản chính thức hoặc giao tiếp trang trọng.
undervalue,,/ˌʌn.dəˈvæl.juː/,[sound:undervalue.mp3],đánh giá thấp,You should not {{c1::undervalue}} your own skills and contributions.,Đánh giá ai hoặc cái gì thấp hơn giá trị thực sự của họ hoặc nó.,To rate or price lower than real value.,"undervalue somebody's efforts, undervalued currency, undervalue skills","Syn: underestimate, belittle | Ant: overestimate, appreciate",sell short,Tiền tố under- (dưới) + value (giá trị).,"Neutral/Academic - Dùng rộng rãi trong đời sống, kinh tế và công việc."
misbehave,,/ˌmɪs.bɪˈheɪv/,[sound:misbehave.mp3],"cư xử tồi, hư hỏng","If the children {{c1::misbehave}}, they will not get any dessert.","Cư xử không đúng mực, làm trái quy tắc (thường dùng cho trẻ em hoặc động vật).",To conduct oneself badly or improperly.,"misbehave badly, children misbehave, tend to misbehave","Syn: act up, disobey | Ant: behave, obey",act up,"Tiền tố mis- (sai, xấu) + behave (cư xử).",Neutral - Sử dụng phổ biến trong sinh hoạt hàng ngày.
concern,"<img src=""concern.jpg"">",/kənˈsɜːn/,[sound:concern.mp3],"mối quan ngại, lo lắng",Environmental protection is a major {{c1::concern}} for many nations.,"Mối lo ngại, sự quan tâm đối với một vấn đề ảnh hưởng đến ai đó.",A matter of interest or importance to someone; anxiety.,"express concern, major concern, cause for concern","Syn: worry, anxiety | Ant: indifference, unconcern",as far as somebody is concerned,"Tiền tố con- (cùng nhau) + cernere (nhận thức, sàng lọc).","Neutral/Formal - Dùng rộng rãi trong tin tức, công việc và học thuật."
attention,"<img src=""attention.jpg"">",/əˈten.ʃən/,[sound:attention.mp3],sự chú ý,Please pay close {{c1::attention}} to the safety instructions.,"Hành động tập trung tâm trí, giác quan vào một việc hoặc đối tượng cụ thể.",Notice taken of someone or something; the regarding of someone or something as interesting or important.,"pay attention, attract attention, call attention to","Syn: focus, concentration | Ant: inattention, distraction",catch someone's eye,Động từ attend + hậu tố danh từ -ion.,Neutral - Phổ biến trong mọi hoàn cảnh giao tiếp.
neglect,"<img src=""neglect.jpg"">",/nɪˈɡlekt/,[sound:neglect.mp3],"bỏ mặc, sao nhãng","If you {{c1::neglect}} your health, you will get sick eventually.","Thờ ơ, bỏ bê, không chăm sóc hoặc không hoàn thành trách nhiệm/nhiệm vụ đúng mức.",To fail to care for properly or pay sufficient attention to.,"neglect duties, child neglect, neglect health","Syn: disregard, abandon / Ant: cherish, foster, care for",suffer from neglect,nec- (không) + legere (chọn/chú ý) -> không chú ý tới trách nhiệm,"Neutral/Formal - Dùng trong đời sống hàng ngày cũng như văn bản pháp lý, y tế, xã hội."
condition,"<img src=""condition.jpg"">",/kənˈdɪʃ.ən/,[sound:condition.mp3],"điều kiện, tình trạng",The house was in surprisingly good {{c1::condition}} considering its age.,"Tình trạng sức khỏe/vật chất, hoặc điều kiện cần có để điều gì xảy ra.","The state of something with regard to its appearance, quality, or working order.","living conditions, in good condition, medical condition","Syn: state, situation | Ant: N/A",on condition that,"Tiền tố con- (cùng nhau) + dicere (nói, thỏa thuận).",Neutral - Từ vựng thông dụng trong hầu hết bối cảnh.
disagreement,"<img src=""disagreement.jpg"">",/ˌdɪs.əˈɡriː.mənt/,[sound:disagreement.mp3],sự bất đồng ý kiến,They had a slight {{c1::disagreement}} about where to go for dinner.,"Sự không đồng ý, khác biệt về quan điểm giữa hai hay nhiều bên.",Lack of consensus or approval.,"fundamental disagreement, disagreement over something, in disagreement","Syn: conflict, variance | Ant: agreement, harmony",at odds with,Tiền tố dis- (không) + agree (đồng ý) + hậu tố -ment (danh từ).,Neutral - Dùng phổ biến trong văn nói và văn viết.
dispute,"<img src=""dispute.jpg"">",/dɪˈspjuːt/,[sound:dispute.mp3],"cuộc tranh chấp, bất hòa",The trade {{c1::dispute}} between the two countries lasted for months.,"Cuộc tranh cãi, tranh chấp gay gắt (thường mang tính chính thức, pháp lý hoặc lao động).","A disagreement, argument, or debate.","border dispute, labor dispute, resolve a dispute","Syn: argument, controversy | Ant: accord, settlement",in dispute,"Tiền tố dis- (xa, khác) + putare (suy nghĩ, tính toán).","Formal/Legal - Thường dùng trong tin tức, pháp luật, ngoại giao."
