English,IMG,Transcription,Audio,Vietnamese,Sentence,Vietnamese_Explain,English_Explain,Collocations,Synonyms_Antonyms,Phrasal_Idioms,Word_Analysis,Nuance_Register
mental,"<img src=""mental.jpg"">",/ˈmentl/,[sound:mental.mp3],"thuộc tinh thần, tâm lý",Regular physical exercise is beneficial for your {{c1::mental}} health.,"Liên quan đến tâm trí, suy nghĩ hoặc trạng thái sức khỏe tâm lý của một người.",Relating to the mind or disorders of the mind.,"mental health, mental state, mental illness","Syn: psychological, cognitive | Ant: physical, bodily",mental block (sự bế tắc trí tuệ/tâm lý),Gốc từ tiếng Latin 'mens/mentis' (tâm trí) + hậu tố tính từ '-al'.,"Neutral/Academic - Dùng trong cả đời sống hàng ngày lẫn y khoa, học thuật."
improve,"<img src=""improve.jpg"">",/ɪmˈpruːv/,[sound:improve.mp3],"cải thiện, nâng cao",Reading books every day will help {{c1::improve}} your vocabulary.,"Làm cho cái gì đó trở nên tốt hơn, chất lượng hơn hoặc tiến bộ hơn.",To make or become better.,"improve quality, improve skills, dramatically improve","Syn: enhance, boost | Ant: worsen, deteriorate",room for improvement (vẫn còn khoảng trống để tiến bộ),Tiền tố 'im-' (vào trong) + gốc tiếng Pháp cổ 'prou' (lợi ích).,Neutral - Sử dụng rất phổ biến trong mọi hoàn cảnh giao tiếp.
consider,"<img src=""consider.jpg"">",/kənˈsɪdə(r)/,[sound:consider.mp3],"cân nhắc, xem xét",You should carefully {{c1::consider}} all options before making a decision.,Suy nghĩ kỹ lưỡng về một điều gì đó trước khi đưa ra quyết định.,"To think carefully about something, typically before making a decision.","consider doing sth, carefully consider, consider a possibility","Syn: contemplate, deliberate | Ant: ignore, disregard",all things considered (sau khi đã cân nhắc mọi thứ),"Từ tiếng Latin 'considerare' (quan sát kỹ, xem xét sao trời).","Neutral/Formal - Thường dùng trong thảo luận, công việc, trang trọng."
tough times,,/tʌf taɪmz/,[sound:toughtimes.mp3],thời điểm khó khăn,True friends are those who stay with you during {{c1::tough times}}.,"Giai đoạn vất vả, gian nan hoặc đầy thử thách trong cuộc sống.","Periods of difficulty, hardship, or struggle.","go through tough times, face tough times, survive tough times","Syn: hard times, hardship | Ant: good times, prosperity",when the going gets tough (khi mọi thứ trở nên khó khăn),"Tính từ 'tough' (gai góc, bền bỉ) + danh từ số nhiều 'times' (thời gian).",Informal/Neutral - Dùng trong giao tiếp đời thường và văn nói động viên.
aim,"<img src=""aim.jpg"">",/eɪm/,[sound:aim.mp3],"mục tiêu, nhắm tới",The program {{c1::aims}} to provide free education for underprivileged children.,Mục đích hướng tới hoặc hành động chĩa/nhắm vào một mục tiêu cụ thể.,To intend or direct something toward a specific goal.,"aim to do sth, achieve an aim, main aim","Syn: goal, target, intend | Ant: aimlessness",take aim at (nhắm vào ai/cái gì),"Bắt nguồn từ tiếng Pháp cổ 'esmer' (ước lượng, tính toán).",Neutral - Sử dụng linh hoạt làm cả động từ và danh từ.
community,"<img src=""community.jpg"">",/kəˈmjuːnəti/,[sound:community.mp3],cộng đồng,Volunteers play a vital role in building a strong {{c1::community}}.,"Nhóm người sống trong cùng một khu vực hoặc có chung sở thích, bản sắc.",A group of people living in the same place or having a particular characteristic in common.,"local community, sense of community, community service","Syn: society, neighborhood | Ant: individual, isolation",pillar of the community (trụ cột của cộng đồng),Gốc 'communis' (chung) + hậu tố danh từ chỉ trạng thái '-ity'.,Neutral/Formal - Dùng rộng rãi trong đời sống xã hội và báo chí.
adjust,"<img src=""adjust.jpg"">",/əˈdʒʌst/,[sound:adjust.mp3],"điều chỉnh, thích nghi",It took him a few weeks to {{c1::adjust}} to his new working environment.,"Thay đổi vị trí, mức độ hoặc thói quen để phù hợp hơn với hoàn cảnh mới.",Alter or move something slightly in order to achieve the desired result or fit in.,"adjust to, adjust settings, adjust the focus","Syn: adapt, modify, alter | Ant: maintain, remain",adjust oneself to,ad- (tiền tố: hướng tới) + juxta (ngữ căn: gần),"Neutral - Dùng linh hoạt trong cuộc sống, kỹ thuật lẫn công việc."
loneliness,"<img src=""loneliness.jpg"">",/ˈləʊnlinəs/,[sound:loneliness.mp3],sự cô đơn,Elderly people often suffer from severe {{c1::loneliness}}.,"Cảm giác trống trải, buồn bã vì không có người đồng hành hoặc thấu hiểu.",A complex and unpleasant emotional response to isolation.,"feel loneliness, overcome loneliness, deep loneliness","Syn: solitude, isolation | Ant: companionship, togetherness",die of loneliness (chết trong cô đơn),Tính từ 'lonely' (cô đơn) + hậu tố tạo danh từ trừu tượng '-ness'.,"Neutral - Dùng miêu tả cảm xúc, tâm lý xã hội."
arrange,"<img src=""arrange.jpg"">",/əˈreɪndʒ/,[sound:arrange.mp3],"sắp xếp, thu xếp",She needs to {{c1::arrange}} a meeting with the overseas clients.,Đặt mọi thứ vào trật tự hoặc lên kế hoạch chuẩn bị cho một sự kiện.,"To put things in a neat, attractive, or required order; to plan.","arrange a meeting, arrange furniture, arrange for sth","Syn: organize, schedule | Ant: disorganize, mess up",arrange in advance (sắp xếp trước),"Tiền tố 'a-' (hướng tới) + gốc 'range' (hàng, dãy).",Neutral - Dùng phổ biến trong công việc và quản lý thời gian.
perfectly,"<img src=""perfectly.jpg"">",/ˈpɜːfɪktli/,[sound:perfectly.mp3],"hoàn hảo, một cách hoàn toàn",The new dress fits her {{c1::perfectly}}.,"Một cách hoàn toàn không có lỗi, vừa vặn hoặc đạt mức tuyệt hảo.",In a manner or way that could not be better.,"fit perfectly, understand perfectly, perfectly normal","Syn: flawlessly, completely | Ant: imperfectly, poorly",perfectly clear (rõ như ban ngày),Tính từ 'perfect' (hoàn hảo) + hậu tố trạng từ '-ly'.,"Neutral - Trạng từ nhấn mạnh, dùng trong cả văn nói và viết."
