English,IMG,Transcription,Audio,Vietnamese,Sentence,Vietnamese_Explain,English_Explain,Collocations,Synonyms_Antonyms,Phrasal_Idioms,Word_Analysis,Nuance_Register
resolve,"<img src=""resolve.jpg"">",/rɪˈzɒlv/,[sound:resolve.mp3],"giải quyết, quyết định",They met to {{c1::resolve}} the conflict peacefully.,"Giải quyết một vấn đề, tranh chấp hoặc đưa ra quyết định kiên quyết.",To find a solution to a problem or determine firmly.,"resolve an issue, resolve a conflict, firm resolve","Syn: solve, settle | Ant: complicate, worsen",resolve into (phân tích thành),"re- (lại) + solve (nới lỏng, giải phóng) -> giải quyết triệt để","Formal - Thường dùng trong bối cảnh công việc, chính trị, pháp lý."
effectively,"<img src=""effectively.jpg"">",/ɪˈfektɪvli/,[sound:effectively.mp3],một cách hiệu quả,She managed her time {{c1::effectively}} to finish all projects on deadline.,Làm việc hoặc vận hành một cách tạo ra kết quả như mong muốn.,In a way that produces a desired or intended result.,"work effectively, communicate effectively, deal effectively with","Syn: efficiently, successfully | Ant: ineffectively, uselessly",effectively speaking (nói một cách thực tế),effect (hiệu quả) + -ive (tính từ) + -ly (trạng từ),Neutral - Sử dụng phổ biến trong cả văn nói và văn viết trang trọng.
issue,"<img src=""issue.jpg"">",/ˈɪʃuː/,[sound:issue.mp3],"vấn đề, sự phát hành",Environmental protection is a critical {{c1::issue}} today.,"Một chủ đề hoặc vấn đề quan trọng cần thảo luận, hoặc việc phát hành tài liệu.",An important topic or problem for debate or discussion.,"address an issue, key issue, health issue","Syn: problem, matter, topic | Ant: solution","take issue with (phản đối, tranh cãi với ai)","Từ tiếng Pháp cổ 'issue' (lối ra, kết quả)","Neutral/Formal - Rất phổ biến trong đời sống, kinh doanh và chính trị."
mark,"<img src=""mark.jpg"">",/mɑːk/,[sound:mark.mp3],"đánh dấu, mốc, điểm số",This milestone will {{c1::mark}} the beginning of a new era.,"Tạo một dấu vết, ghi nhận sự kiện quan trọng, hoặc điểm số đạt được.",To make a visible impression or celebrate an occasion.,"mark an occasion, high marks, leave a mark","Syn: indicate, signal, label | Ant: erase, ignore","make one's mark (tạo nên tên tuổi, để lại ấn tượng)","Nguồn gốc tiếng Anh cổ 'mearc' (dấu hiệu, ranh giới)",Neutral - Sử dụng rộng rãi trong nhiều ngữ cảnh.
establish,"<img src=""establish.jpg"">",/ɪˈstæblɪʃ/,[sound:establish.mp3],"thành lập, thiết lập",The company was {{c1::established}} in 1995.,"Thành lập một tổ chức, hệ thống hoặc xây dựng mối quan hệ vững chắc.","To set up an organization, system, or set of rules on a firm basis.","establish a business, establish a relationship, establish rules","Syn: found, set up, create | Ant: demolish, destroy",established fact (sự thật đã được chứng minh),"e- (ra) + stabile (vững chắc) -> làm cho vững chắc, thiết lập","Formal - Dùng trong kinh doanh, học thuật và tổ chức."
realistic,"<img src=""realistic.jpg"">",/ˌrɪəˈlɪs.tɪk/,[sound:realistic.mp3],"Thực tế, khả thi",You need to set {{c1::realistic}} goals that can be achieved within budget.,Đánh giá sự việc dựa trên thực tế thay vì mơ tưởng; có tính khả thi cao.,Accepting things as they are and dealing with them in a practical way.,"realistic goal, realistic expectation, realistic target","Syn: practical, feasible | Ant: unrealistic, impractical",down to earth,Root: real (thực) + Suffix: -istic (tính từ chỉ phong cách/tính chất),Neutral - Phổ biến trong cả đời sống lẫn lập kế hoạch công việc.
affordable,"<img src=""affordable.jpg"">",/əˈfɔː.də.bəl/,[sound:affordable.mp3],giá cả phải chăng,They are looking for an {{c1::affordable}} apartment near the city center.,"Có giá trị vừa phải, nằm trong khả năng chi trả của người mua.",Inexpensive; reasonably priced.,"affordable price, affordable housing, affordable luxury","Syn: reasonable, cheap, economical / Ant: expensive, exorbitant",fit one's budget,afford (có thể chi trả) + -able (có thể),Neutral/Commercial - Thường dùng trong thương mại và giao tiếp tiêu dùng.
advanced,"<img src=""advanced.jpg"">",/ədˈvɑːnst/,[sound:advanced.mp3],"tiên tiến, nâng cao",He is taking an {{c1::advanced}} course in artificial intelligence.,"Ở mức độ cao hơn, hiện đại hơn hoặc phức tạp hơn trình độ thông thường.","At a higher, more complex, or modern level.","advanced technology, advanced level, advanced age","Syn: sophisticated, modern, high-level | Ant: basic, primitive",in advance (trước),advance (tiến lên) + -ed (tính từ hóa),"Neutral/Academic - Phổ biến trong giáo dục, công nghệ."
consistently,"<img src=""consistently.jpg"">",/kənˈsɪstəntli/,[sound:consistently.mp3],"một cách nhất quán, kiên định",She has {{c1::consistently}} performed well in all tests.,Làm điều gì đó theo cùng một cách hoặc đạt cùng mức độ chất lượng qua thời gian.,In a way that does not change and remains steady or reliable.,"consistently high, perform consistently, consistently deliver","Syn: steadily, regularly, reliably | Ant: inconsistently, irregularly",N/A,con- (cùng nhau) + sist (đứng) + -ent (tính từ) + -ly (trạng từ),"Neutral/Formal - Dùng nhiều trong đánh giá năng lực, thống kê."
self-image,"<img src=""self-image.jpg"">",/ˌself ˈɪmɪdʒ/,[sound:self-image.mp3],"hình ảnh bản thân, tự nhận thức",Success can greatly boost a person's {{c1::self-image}}.,"Quan điểm hoặc cảm nhận của một cá nhân về năng lực, ngoại hình và giá trị của chính mình.","The idea, conception, or mental image one has of oneself.","positive self-image, negative self-image, build self-image","Syn: self-concept, self-perception | Ant: N/A",N/A,self (bản thân) + image (hình ảnh),Academic/Psychology - Dùng nhiều trong tâm lý học và đời sống.
