English,IMG,Transcription,Audio,Vietnamese,Sentence,Vietnamese_Explain,English_Explain,Collocations,Synonyms_Antonyms,Phrasal_Idioms,Word_Analysis,Nuance_Register
irritation,"<img src=""irritation.jpg"">",/ˌɪr.ɪˈteɪ.ʃən/,[sound:irritation.mp3],"sự khó chịu, sự kích ứng",She could not hide her {{c1::irritation}} at his constant interruptions.,"Sự tức giận, khó chịu nhẹ hoặc phản ứng sinh học bị kích ứng của các cơ quan như da, mắt.","The state of feeling annoyed, impatient, or slightly angry; or a painful soreness/inflammation on a part of the body.","show/express irritation, skin irritation, minor irritation","Syn: annoyance, frustration, inflammation; Ant: pleasure, comfort, delight","get under someone's skin, drive someone crazy","Root: irritate (làm phát cáu, kích ứng) + Suffix: -ation (danh từ hóa chỉ hành động/trạng thái)",Neutral đến Formal. Thường dùng rộng rãi cả trong đời sống hàng ngày (biểu thị sự khó chịu) và trong y học (biểu thị sự kích ứng cơ thể).
interact,"<img src=""interact.jpg"">",/ˌɪn.təˈrækt/,[sound:interact.mp3],"tương tác, giao tiếp",Teachers should encourage students to {{c1::interact}} with each other during group work.,"Hành động giao tiếp, trò chuyện hoặc tác động qua lại lẫn nhau giữa người với người, hoặc giữa các yếu tố vật lý/hóa học.",To communicate with or react to each other; to have an effect on each other.,"interact with someone, closely interact, social interaction (noun)","Syn: communicate, connect, cooperate; Ant: ignore, isolate, avoid","bounce ideas off each other, rub shoulders with","Prefix: inter- (giữa, qua lại) + Root: act (hành động)","Neutral. Phổ biến trong cả đời sống hàng ngày, giáo dục, tâm lý học và các ngành khoa học tự nhiên."
observing,"<img src=""observing.jpg"">",/əbˈzɜː.vɪŋ/,[sound:observing.mp3],"quan sát, tuân thủ","By {{c1::observing}} the behavior of birds, scientists can predict changes in the weather.","Hành động theo dõi kỹ lưỡng ai đó/cái gì đó để học hỏi hoặc nghiên cứu; hoặc hành động tuân thủ nghiêm chỉnh luật lệ, tập tục.","Watching carefully to learn about something; or obeying a law, rule, or custom.","observing behavior, observing closely, observing rules/laws","Syn: watching, monitoring, obeying; Ant: ignoring, neglecting, violating","keep an eye on, watch like a hawk","Root: observe (quan sát, tuân theo) + Suffix: -ing (hậu tố tạo danh động từ/phân từ)","Neutral đến Academic. Thường được sử dụng nhiều trong văn phong khoa học, nghiên cứu, giáo dục và pháp luật."
approach,"<img src=""approach.jpg"">",/əˈprəʊtʃ/,[sound:approach.mp3],"tiếp cận, phương pháp",We need a new {{c1::approach}} to solve this complex problem.,"Vừa là động từ (tiến lại gần, tiếp cận một người hoặc một địa điểm) vừa là danh từ (phương pháp, cách thức bắt đầu giải quyết một vấn đề).",A way of dealing with something; to come near or nearer to something in distance or time.,"adopt an approach, innovative approach, approach a problem","Syn: method, strategy, perspective / Ant: avoidance, retreat",approach someone about something,"Bắt nguồn từ tiếng Pháp cổ 'aprochier', từ tiền tố ad- (hướng tới) + gốc Latin 'prope' (gần).","Neutral to Formal. Được sử dụng rất rộng rãi trong cả đời sống hàng ngày lẫn môi trường học thuật, công sở."
approval,"<img src=""approval.jpg"">",/əˈpruːvəl/,[sound:approval.mp3],"sự tán thành, phê duyệt",The project cannot begin without the manager's formal {{c1::approval}}.,"Sự đồng ý chính thức từ người có thẩm quyền, hoặc sự đồng tình, đánh giá tốt từ xã hội hoặc gia đình.",The belief that something is good or acceptable; official permission or agreement.,"win approval, gain approval, written approval","Syn: agreement, consent, endorsement / Ant: disapproval, rejection",seal of approval,"Động từ 'approve' + hậu tố danh từ hóa '-al' (chỉ hành động, trạng thái hoặc quá trình).","Neutral to Formal. Thường xuất hiện trong văn bản hành chính, công việc hoặc giao tiếp lịch sự."
circumstance,"<img src=""circumstance.jpg"">",/ˈsɜːkəmstəns/,[sound:circumstance.mp3],"hoàn cảnh, trường hợp",Under no {{c1::circumstances}} should you leave the building during an emergency.,"Các điều kiện, sự kiện hoặc hoàn cảnh xung quanh và ảnh hưởng đến một tình huống, hành động hoặc cuộc sống của ai đó.",A fact or condition connected with or relevant to an event or action.,"under the circumstances, unforeseen circumstances, mitigating circumstances","Syn: condition, situation, state of affairs",pomp and circumstance,Từ tiền tố Latin 'circum-' (xung quanh) + gốc từ 'stare' (đứng). Mang nghĩa đen là những thứ đứng xung quanh ta.,"Neutral to Formal. Rất phổ biến trong văn phong học thuật, pháp luật và báo chí."
compassion,"<img src=""compassion.jpg"">",/kəmˈpæʃən/,[sound:compassion.mp3],lòng trắc ẩn,She showed deep {{c1::compassion}} for the homeless people in her neighborhood.,"Cảm giác thương xót và đồng cảm sâu sắc trước nỗi đau khổ của người khác, đi kèm với mong muốn mãnh liệt được giúp đỡ họ.",Sympathetic pity and concern for the sufferings or misfortunes of others.,"show compassion, feel compassion, deep compassion","Syn: sympathy, empathy, kindness / Ant: cruelty, indifference, coldness",have compassion on/for someone,"Tiền tố Latin 'com-' (cùng nhau) + gốc 'pati' (chịu đựng, đau khổ). Nghĩa đen là cùng chịu đựng đau khổ với ai đó.","Neutral to Formal. Mang sắc thái trang trọng, ấm áp, tích cực và đầy tính nhân văn."
curiosity,"<img src=""curiosity.jpg"">",/ˌkjʊəriˈɒsəti/,[sound:curiosity.mp3],"sự tò mò, hiếu kỳ",His intense {{c1::curiosity}} about outer space led him to study astronomy.,"Sự mong muốn mạnh mẽ được biết, được hiểu hoặc khám phá về một điều gì đó mới mẻ hoặc kỳ lạ.",A strong desire to know or learn something.,"satisfy curiosity, spark curiosity, intellectual curiosity","Syn: inquisitiveness, interest, nosiness / Ant: indifference, apathy",curiosity killed the cat,"Tính từ 'curious' + hậu tố danh từ '-ity' (chỉ trạng thái, tính chất). Gốc Latin 'cura' nghĩa là sự quan tâm, chăm sóc.","Neutral. Thường dùng trong đời sống hàng ngày, giáo dục và nghiên cứu khoa học."
disagreement,"<img src=""disagreement.jpg"">",/ˌdɪsəˈɡriːmənt/,[sound:disagreement.mp3],sự bất đồng ý kiến,There was a sharp {{c1::disagreement}} between the two partners over budget allocation.,"Sự bất đồng quan điểm, không nhất trí, hoặc tranh chấp, cãi cọ giữa hai hay nhiều người.",An argument or a situation in which people have different opinions.,"have a disagreement, sharp disagreement, minor disagreement","Syn: dispute, conflict, dissent / Ant: agreement, harmony, consensus",agree to disagree,Tiền tố phủ định 'dis-' + động từ 'agree' + hậu tố danh từ hóa '-ment'.,Neutral. Được dùng rộng rãi từ giao tiếp thông thường cho đến các cuộc đàm phán thương mại chính thức.
emotional intelligence,"<img src=""emotional.jpg"">",/ɪˈməʊʃənl ɪnˈtelɪdʒəns/,[sound:emotional.mp3],trí tuệ cảm xúc,High {{c1::emotional intelligence}} helps leaders build stronger and more cohesive teams.,"Khả năng nhận biết, hiểu, quản lý cảm xúc của bản thân và thấu cảm với cảm xúc của người khác để xây dựng các mối quan hệ tốt đẹp.","The capacity to be aware of, control, and express one's emotions, and to handle interpersonal relationships judiciously and empathetically.","develop emotional intelligence, level of emotional intelligence","Syn: EQ, emotional quotient",N/A,"Cụm danh từ ghép từ tính từ 'emotional' (thuộc về cảm xúc) và danh từ 'intelligence' (trí thông minh, có gốc Latin 'intelligere' - hiểu biết).","Semi-formal to Academic. Phổ biến trong tâm lý học, quản trị nhân sự và tài liệu tự phát triển bản thân."
