English,IMG,Transcription,Audio,Vietnamese,Sentence,Vietnamese_Explain,English_Explain,Collocations,Synonyms_Antonyms,Phrasal_Idioms,Word_Analysis,Nuance_Register
except,"<img src=""except.jpg"">",/ɪkˈsept/,[sound:except.mp3],ngoại trừ,"Everyone attended the meeting {{c1::except}} John, who was sick.","Dùng làm giới từ hoặc liên từ để loại trừ một người, một vật hoặc một sự việc ra khỏi nhóm/tuyên bố chung.",Not including; other than.,"except for, except that, all except","Syn: excluding, apart from | Ant: including",except for the fact that,"Tiền tố ex- (ra ngoài) + Gốc capere (nắm/lấy) -> lấy ra ngoài, không tính vào.",Neutral - Dùng phổ biến trong cả giao tiếp hàng ngày và văn viết chính thức.
reduced,"<img src=""reduced.jpg"">",/rɪˈdjuːst/,[sound:reduced.mp3],"đã giảm, bị cắt giảm",The shop is selling items at a {{c1::reduced}} price this week.,"Tính từ hoặc dạng quá khứ của 'reduce', miêu tả trạng thái đã bị hạ thấp về kích thước, số lượng, giá trị hoặc mức độ.","Made smaller or less in size, amount, or degree.","reduced price, reduced rate, greatly reduced","Syn: decreased, diminished, lowered | Ant: increased, expanded",at a reduced price,Tiền tố re- (về lại) + Gốc ducere (dẫn dắt) + Hậu tố -ed -> bị dẫn về mức thấp hơn.,"Neutral / Business - Phổ biến trong thương mại, tin tức và đời sống."
them,"<img src=""them.jpg"">",/ðəm/,[sound:them.mp3],"họ, chúng nó (tân ngữ)",I saw my friends yesterday and invited {{c1::them}} to dinner.,"Đại từ nhân xưng đóng vai trò tân ngữ số nhiều, đại diện cho người, động vật hoặc đồ vật đã đề cập trước đó.",Used to refer to two or more people or things previously mentioned as the object of a verb or preposition.,"all of them, with them, tell them",Syn: N/A | Ant: N/A,them's the breaks,"Có nguồn gốc từ tiếng Bắc Âu cổ (þeim), đại từ chỉ số nhiều ở dạng tân ngữ.",Neutral - Từ vựng ngữ pháp cơ bản dùng trong mọi hoàn cảnh.
also,"<img src=""also.jpg"">",/ˈɔːl.səʊ/,[sound:also.mp3],"cũng, ngoài ra",She speaks French and {{c1::also}} understands Italian.,Phó từ dùng để bổ sung thông tin hoặc ý kiến mới vào thông tin đã có sẵn.,In addition; too.,"also known as, but also, see also","Syn: too, as well, furthermore | Ant: N/A",not only... but also,Từ Tiếng Anh cổ: all (tất cả) + so (như vậy) -> cũng như vậy.,"Neutral / Academic - Thường đứng trước động từ chính hoặc sau 'be', dùng tốt trong cả văn viết."
toward,"<img src=""toward.jpg"">",/təˈwɔːrd/,[sound:toward.mp3],"về phía, hướng tới",He walked {{c1::toward}} the exit without saying a word.,"Giới từ chỉ hướng di chuyển, vị trí đối diện, hoặc thái độ/mục tiêu đối với một ai đó hoặc điều gì đó.","In the direction of, or in relation to.","attitude toward, steps toward, point toward","Syn: towards, heading for | Ant: away from",count toward,Gốc to (hướng tới) + Hậu tố -ward (chỉ phương hướng).,"Neutral - 'Toward' phổ biến trong Anh-Mỹ, trong khi 'towards' phổ biến hơn trong Anh-Anh."
closer,"<img src=""closer.jpg"">",/ˈkləʊ.sər/,[sound:closer.mp3],gần hơn,"As we got {{c1::closer}} to the stage, the music grew louder.","Dạng so sánh hơn của tính từ/trạng từ 'close', dùng để miêu tả khoảng cách ngắn hơn về vị trí, thời gian hoặc mức độ thân thiết.","At a shorter distance in space or time, or more intimate.","get closer, closer look, closer relationship","Syn: nearer, more intimate | Ant: farther, further","come closer, take a closer look",Tính từ close (gần) + Hậu tố so sánh -er.,Neutral - Sử dụng tự nhiên trong cả giao tiếp hàng ngày và văn bản.
mentioned,"<img src=""mentioned.jpg"">",/ˈmen.ʃənd/,[sound:mentioned.mp3],"đã đề cập, được đề cập","As {{c1::mentioned}} earlier, the deadline has been extended.","Dạng quá khứ hoặc phân từ của động từ 'mention', chỉ việc đã nói đến, nhắc tới hoặc đề cập ngắn gọn.",Referred to briefly or in passing.,"as mentioned, above mentioned, previously mentioned","Syn: stated, cited, referred to | Ant: ignored, omitted",not to mention,Gốc La-tinh mens/mentis (tâm trí) -> đưa vào tâm trí -> nhắc tới + Hậu tố -ed.,"Formal / Academic - Rất phổ biến trong giao tiếp công việc, báo cáo và văn viết chính thức."
interest,"<img src=""interest.jpg"">",/ˈɪn.trəst/,[sound:interest.mp3],"sự quan tâm, sở thích, lãi suất",She showed a deep {{c1::interest}} in learning modern history.,"Danh từ chỉ sự tò mò/chú ý đến cái gì, hoạt động yêu thích, hoặc khoản tiền lãi trong giao dịch tài chính.",The feeling of wanting to know or learn about something; financial charge for borrowing money.,"interest rate, show interest, area of interest","Syn: curiosity, passion, attraction | Ant: boredom, indifference","in the best interest of, lose interest",Tiền tố inter- (giữa) + esse (tồn tại) -> điều có tầm quan trọng ở giữa các bên.,"Neutral / Business - Mang nghĩa 'sở thích/quan tâm' trong đời sống, mang nghĩa 'lãi suất' trong kinh tế."
replaced by,,/rɪˈpleɪst baɪ/,[sound:replacedby.mp3],được thay thế bởi,Manual labor was gradually {{c1::replaced by}} automated machinery.,Cấu trúc động từ bị động dùng để chỉ việc một đối tượng/người nào đó bị/được thế chỗ bởi một đối tượng/người khác.,Used to indicate that something or someone takes the place of another.,"be replaced by, replaced by technology, replaced by new staff","Syn: substituted with, superseded by | Ant: retained, kept",N/A,Động từ replace (re- [lại] + place [đặt vào vị trí]) + Hậu tố -ed + Giới từ by.,"Neutral / Formal - Thường dùng để miêu tả sự thay đổi, chuyển giao hoặc phát triển công nghệ."
common,"<img src=""common.jpg"">",/ˈkɒm.ən/,[sound:common.mp3],"phổ biến, thông thường",It is a {{c1::common}} belief that eating carrots improves your eyesight.,"Chỉ cái gì đó xảy ra thường xuyên, được nhiều người biết đến hoặc chia sẻ bởi nhiều người/nhiều nơi.","Happening, found, or done often; shared by or coming from more than one.","common knowledge, common ground, common sense","Syn: widespread, frequent | Ant: rare, unusual",tragedy of the commons,"Gốc Latinh 'communis' nghĩa là chia sẻ chung, công cộng.","Neutral. Từ vựng cơ bản, dùng phổ biến trong cả giao tiếp hàng ngày và văn phong học thuật."
quiet,"<img src=""quiet.jpg"">",/ˈkwaɪ.ət/,[sound:quiet.mp3],"yên tĩnh, lặng lẽ",She liked to find a {{c1::quiet}} place in the library to read.,"Trạng thái không có tiếng ồn, êm đềm, không bị quấy rầy; hoặc mô tả người ít nói, trầm tính.",Making little or no noise; peaceful and relaxed; not talking much.,"keep quiet, quiet moment, quiet life","Syn: silent, peaceful, tranquil | Ant: noisy, loud, rowdy",quiet as a mouse,"Gốc Latinh 'quies' nghĩa là sự nghỉ ngơi, yên tĩnh.",Neutral. Từ thông dụng hàng ngày trong mọi hoàn cảnh giao tiếp.
focus on,,/ˈfəʊ.kəs ɒn/,[sound:focuson.mp3],tập trung vào,The meeting will {{c1::focus on}} improving our sales strategy.,"Dành sự chú ý, thời gian hoặc năng lượng đặc biệt cho một đối tượng, công việc hoặc chủ đề cụ thể.","To give all your attention, effort, or time to a particular subject, situation, or activity.","focus attention on, narrow focus on, sharp focus on","Syn: concentrate on, center on | Ant: ignore, distract from",bring into focus,"Từ gốc 'focus' (tiếng Latinh ban đầu nghĩa là lò sưởi, trung tâm nhiệt/ánh sáng) kết hợp với giới từ 'on'.","Neutral/Formal. Thích hợp dùng trong cả giao tiếp công việc, nghiên cứu học thuật và đời sống."
personal space,,/ˌpɜː.sən.əl ˈspeɪs/,[sound:personalspace.mp3],không gian cá nhân,He felt uncomfortable when strangers invaded his {{c1::personal space}}.,Khoảng cách vật lý hoặc không gian xung quanh một người mà họ cảm thấy an toàn và thoải mái; nếu người khác bước vào quá gần sẽ gây cảm giác khó chịu.,"The physical area immediately surrounding a person, which they regard as psychologically theirs.","invade personal space, respect personal space, need personal space",Syn: private space | Ant: public area,give someone space,"Cấu thành từ 'personal' (thuộc về cá nhân, gốc 'person' + hậu tố tính từ '-al') và 'space' (không gian, gốc Latinh 'spatium').","Neutral. Thường được dùng trong bối cảnh giao tiếp xã hội, tâm lý học và đời sống thường ngày."
relative,"<img src=""relative.jpg"">",/ˈrel.ə.tɪv/,[sound:relative.mp3],"họ hàng, người thân",She invited every close {{c1::relative}} to her wedding.,"Một người có mối quan hệ máu mủ, họ hàng hoặc hôn nhân với bạn.","A member of your family, such as an aunt, uncle, cousin, etc.","close relative, distant relative, blood relative","Syn: relation, kinsman, family member | Ant: stranger",relative to (có liên quan tới / so với),"Gốc Latinh 'relat-' (mang tính liên hệ, kết nối) kết hợp với hậu tố danh từ/tính từ '-ive'.",Neutral. Dùng tự nhiên trong đời sống và mang tính chính xác hơn từ 'family member' trong văn bản trang trọng.
